domain,task_id,reason,stage
airline,0,n_actions<5(0),static_complexity_gate
airline,1,n_actions<5(2),static_complexity_gate
airline,10,n_actions<5(0),static_complexity_gate
airline,11,n_actions<5(1),static_complexity_gate
airline,13,n_actions<5(1),static_complexity_gate
airline,14,n_actions<5(2),static_complexity_gate
airline,15,n_actions<5(1),static_complexity_gate
airline,16,n_actions<5(1),static_complexity_gate
airline,17,n_actions<5(3),static_complexity_gate
airline,18,n_tools<3(1),static_complexity_gate
airline,19,n_actions<5(1),static_complexity_gate
airline,2,n_actions<5(3),static_complexity_gate
airline,20,n_actions<5(1),static_complexity_gate
airline,21,n_actions<5(2),static_complexity_gate
airline,22,n_actions<5(3),static_complexity_gate
airline,23,n_actions<5(4),static_complexity_gate
airline,24,n_actions<5(1),static_complexity_gate
airline,25,n_actions<5(1),static_complexity_gate
airline,26,n_actions<5(0),static_complexity_gate
airline,27,n_actions<5(1),static_complexity_gate
airline,28,n_actions<5(0),static_complexity_gate
airline,29,n_actions<5(3),static_complexity_gate
airline,3,n_actions<5(2),static_complexity_gate
airline,30,n_actions<5(3),static_complexity_gate
airline,31,n_actions<5(0),static_complexity_gate
airline,34,n_actions<5(0),static_complexity_gate
airline,35,n_actions<5(1),static_complexity_gate
airline,36,n_actions<5(1),static_complexity_gate
airline,37,n_actions<5(4),static_complexity_gate
airline,38,n_actions<5(2),static_complexity_gate
airline,4,n_tools<3(2),static_complexity_gate
airline,40,n_actions<5(2),static_complexity_gate
airline,41,n_tools<3(2),static_complexity_gate
airline,43,n_tools<3(2),static_complexity_gate
airline,45,n_actions<5(1),static_complexity_gate
airline,46,n_actions<5(0),static_complexity_gate
airline,47,n_actions<5(1),static_complexity_gate
airline,48,n_actions<5(1),static_complexity_gate
airline,49,n_actions<5(1),static_complexity_gate
airline,5,n_actions<5(1),static_complexity_gate
airline,6,n_actions<5(1),static_complexity_gate
airline,8,n_actions<5(4),static_complexity_gate
airline,9,n_actions<5(1),static_complexity_gate
retail,0,gate_passed_not_selected(quota_full),allocation
retail,1,gate_passed_not_selected(quota_full),allocation
retail,10,gate_passed_not_selected(quota_full),allocation
retail,100,n_actions<5(2),static_complexity_gate
retail,101,n_actions<5(3),static_complexity_gate
retail,102,n_actions<5(3),static_complexity_gate
retail,103,n_actions<5(4),static_complexity_gate
retail,104,gate_passed_not_selected(quota_full),allocation
retail,105,n_actions<5(1),static_complexity_gate
retail,106,n_actions<5(1),static_complexity_gate
retail,107,n_actions<5(2),static_complexity_gate
retail,108,n_actions<5(1),static_complexity_gate
retail,109,n_actions<5(3),static_complexity_gate
retail,11,gate_passed_not_selected(quota_full),allocation
retail,110,n_actions<5(3),static_complexity_gate
retail,111,n_actions<5(3),static_complexity_gate
retail,112,n_actions<5(3),static_complexity_gate
retail,113,n_actions<5(2),static_complexity_gate
retail,12,gate_passed_not_selected(quota_full),allocation
retail,13,gate_passed_not_selected(quota_full),allocation
retail,14,gate_passed_not_selected(quota_full),allocation
retail,17,gate_passed_not_selected(quota_full),allocation
retail,18,gate_passed_not_selected(quota_full),allocation
retail,24,n_actions<5(0),static_complexity_gate
retail,25,gate_passed_not_selected(quota_full),allocation
retail,29,gate_passed_not_selected(quota_full),allocation
retail,33,gate_passed_not_selected(quota_full),allocation
retail,34,gate_passed_not_selected(quota_full),allocation
retail,36,n_actions<5(1),static_complexity_gate
retail,37,n_actions<5(4),static_complexity_gate
retail,38,n_actions<5(4),static_complexity_gate
retail,39,gate_passed_not_selected(quota_full),allocation
retail,4,open_issue,static_complexity_gate
retail,40,n_actions<5(4),static_complexity_gate
retail,43,gate_passed_not_selected(quota_full),allocation
retail,44,gate_passed_not_selected(quota_full),allocation
retail,45,gate_passed_not_selected(quota_full),allocation
retail,48,gate_passed_not_selected(quota_full),allocation
retail,5,open_issue,static_complexity_gate
retail,50,n_actions<5(1),static_complexity_gate
retail,51,gate_passed_not_selected(quota_full),allocation
retail,52,gate_passed_not_selected(quota_full),allocation
retail,53,gate_passed_not_selected(quota_full),allocation
retail,57,n_actions<5(0),static_complexity_gate
retail,58,gate_passed_not_selected(quota_full),allocation
retail,59,gate_passed_not_selected(quota_full),allocation
retail,60,n_actions<5(4),static_complexity_gate
retail,61,gate_passed_not_selected(quota_full),allocation
retail,62,gate_passed_not_selected(quota_full),allocation
retail,65,n_actions<5(3),static_complexity_gate
retail,66,gate_passed_not_selected(quota_full),allocation
retail,67,gate_passed_not_selected(quota_full),allocation
retail,68,n_actions<5(4),static_complexity_gate
retail,69,n_actions<5(4),static_complexity_gate
retail,7,open_issue,static_complexity_gate
retail,70,n_actions<5(1),static_complexity_gate
retail,71,n_actions<5(2),static_complexity_gate
retail,72,n_actions<5(2),static_complexity_gate
retail,73,n_actions<5(1),static_complexity_gate
retail,74,n_actions<5(2),static_complexity_gate
retail,75,n_actions<5(1),static_complexity_gate
retail,76,n_actions<5(2),static_complexity_gate
retail,77,n_actions<5(1),static_complexity_gate
retail,78,n_actions<5(3),static_complexity_gate
retail,79,n_actions<5(1),static_complexity_gate
retail,80,n_actions<5(1),static_complexity_gate
retail,81,n_actions<5(2),static_complexity_gate
retail,82,n_actions<5(1),static_complexity_gate
retail,83,n_actions<5(1),static_complexity_gate
retail,84,n_actions<5(1),static_complexity_gate
retail,85,n_actions<5(1),static_complexity_gate
retail,86,n_actions<5(2),static_complexity_gate
retail,87,n_actions<5(4),static_complexity_gate
retail,88,n_actions<5(1),static_complexity_gate
retail,89,n_actions<5(1),static_complexity_gate
retail,90,n_actions<5(1),static_complexity_gate
retail,91,n_actions<5(2),static_complexity_gate
retail,92,n_actions<5(2),static_complexity_gate
retail,93,n_actions<5(1),static_complexity_gate
retail,94,n_actions<5(1),static_complexity_gate
retail,95,n_actions<5(2),static_complexity_gate
retail,96,n_actions<5(2),static_complexity_gate
retail,97,n_actions<5(2),static_complexity_gate
retail,98,n_actions<5(3),static_complexity_gate
retail,99,n_actions<5(2),static_complexity_gate
