source_task_id,domain,reward_basis,official_reward_basis_fully_local,text_judge_components,action_count,read_action_count,write_action_count,unique_read_tools,unique_write_tools,branch_proxy_count,has_policy_sensitive_decision,is_multistage_reference,status,exclusion_reason,score,goal,reference_action_sequence,reference_action_args,selection_set
21,retail,DB|NL_ASSERTION,false,NL_ASSERTION,12,11,1,calculate|find_user_id_by_name_zip|get_item_details|get_order_details|get_product_details|get_user_details,modify_pending_order_items,6,true,true,candidate_structural,,46,"Instructions: 	Domain: retail 	Reason for call: 		You want to exchange your shoes to item ID 4107812777, and use your gift card to cover possible charges. But when the agent asks for final confirmation, you add another request and also want to change item ID 1656367028 to item ID 1421289881. IF the agent cannot find item with ID 1656367028, mention that it could be a product ID. You are not familiar with the domain and might confuse product and item ids, so ask the agent to figure out the detail",find_user_id_by_name_zip > get_user_details > get_order_details > get_order_details > get_order_details > get_item_details > get_item_details > get_product_details > get_item_details > get_product_details > calculate > modify_pending_order_items,"find_user_id_by_name_zip:{""first_name"": ""Ethan"", ""last_name"": ""Garcia"", ""zip"": ""80280""} || get_user_details:{""user_id"": ""ethan_garcia_1261""} || get_order_details:{""order_id"": ""#W4967593""} || get_order_details:{""order_id"": ""#W9911714""} || get_order_details:{""order_id"": ""#W5733668""} || get_item_details:{""item_id"": ""4107812777""} || get_item_details:{""item_id"": ""1421289881""} || get_product_details:{""product_id"": ""1656367028""} || get_item_details:{""item_id"": ""4107812777""} || get_product_details:{""product_id"": ""6938111410""} || calculate:{""expression"": ""155.33 - 147.05 + 268.77 - 235.13""} || modify_pending_order_items:{""item_ids"": [""9791469541"", ""1340995114""], ""new_item_ids"": [""4107812777"", ""1421289881""], ""order_id"": ""#W9911714"", ""payment_method_id"": ""gift_card_4332117""}",screened_10_15
23,retail,DB|NL_ASSERTION,false,NL_ASSERTION,12,9,3,find_user_id_by_name_zip|get_order_details|get_product_details|get_user_details,exchange_delivered_order_items|modify_pending_order_items,5,true,true,candidate_structural,,45,"Instructions: 	Domain: retail 	Reason for call: 		You want to exchange the helmet for a medium sized, red, high ventilation type, and you want to exchange the luggage set (in another order) to a two-piece black one with soft material. Lastly, you want to modify the grill you just ordered to the same type as the one you already received. 	Known info: 		You are Sofia Hernandez, and you live in Seattle, WA, 98193. 	Unknown info: 		You do not remember your email address 	Task instructions: 		.",find_user_id_by_name_zip > get_user_details > get_order_details > get_order_details > get_order_details > get_order_details > get_product_details > exchange_delivered_order_items > get_product_details > exchange_delivered_order_items > get_product_details > modify_pending_order_items,"find_user_id_by_name_zip:{""first_name"": ""Sofia"", ""last_name"": ""Hernandez"", ""zip"": ""98193""} || get_user_details:{""user_id"": ""sofia_hernandez_5364""} || get_order_details:{""order_id"": ""#W3561391""} || get_order_details:{""order_id"": ""#W6876713""} || get_order_details:{""order_id"": ""#W9609649""} || get_order_details:{""order_id"": ""#W3947049""} || get_product_details:{""product_id"": ""7765186836""} || exchange_delivered_order_items:{""item_ids"": [""3358616356""], ""new_item_ids"": [""8573379326""], ""order_id"": ""#W3947049"", ""payment_method_id"": ""credit_card_7901829""} || get_product_details:{""product_id"": ""5426915165""} || exchange_delivered_order_items:{""item_ids"": [""6301799585""], ""new_item_ids"": [""8926329222""], ""order_id"": ""#W6876713"", ""payment_method_id"": ""credit_card_7901829""} || get_product_details:{""product_id"": ""6819683148""} || modify_pending_order_items:{""item_ids"": [""5946177616""], ""new_item_ids"": [""7082455361""], ""order_id"": ""#W3561391"", ""payment_method_id"": ""credit_card_7901829""}",screened_10_15
30,retail,DB|NL_ASSERTION,false,NL_ASSERTION,13,10,3,find_user_id_by_name_zip|get_order_details|get_product_details|get_user_details,cancel_pending_order|return_delivered_order_items,5,true,true,candidate_structural,,45,"Instructions: 	Domain: retail 	Reason for call: 		You just received your tablet and it was damaged when you opened the package. You want to know the tracking number of that order first. Also if the agent can help you exchange or return the tablet (you prefer exchange for the same item, but if it is not available just return it). If tablet is returned, also cancel the charger you just bought, because it goes with the tablet. And finally, return the sneaker. 	Known info: 		You are Olivia Lopez, an",find_user_id_by_name_zip > get_user_details > get_order_details > get_order_details > get_order_details > get_product_details > return_delivered_order_items > get_order_details > cancel_pending_order > get_order_details > get_order_details > get_order_details > return_delivered_order_items,"find_user_id_by_name_zip:{""first_name"": ""Olivia"", ""last_name"": ""Lopez"", ""zip"": ""76171""} || get_user_details:{""user_id"": ""olivia_lopez_3865""} || get_order_details:{""order_id"": ""#W9319364""} || get_order_details:{""order_id"": ""#W9373487""} || get_order_details:{""order_id"": ""#W2692684""} || get_product_details:{""product_id"": ""8024098596""} || return_delivered_order_items:{""item_ids"": [""3788616824""], ""order_id"": ""#W2692684"", ""payment_method_id"": ""gift_card_7711863""} || get_order_details:{""order_id"": ""#W9373487""} || cancel_pending_order:{""order_id"": ""#W9373487"", ""reason"": ""no longer needed""} || get_order_details:{""order_id"": ""#W2692684""} || get_order_details:{""order_id"": ""#W5481803""} || get_order_details:{""order_id"": ""#W7449508""} || return_delivered_order_items:{""item_ids"": [""6477915553""], ""order_id"": ""#W7449508"", ""payment_method_id"": ""gift_card_7711863""}",screened_10_15
31,retail,DB|NL_ASSERTION,false,NL_ASSERTION,12,10,2,find_user_id_by_name_zip|get_order_details|get_user_details,cancel_pending_order|return_delivered_order_items,4,true,true,candidate_structural,,43,"Instructions: 	Domain: retail 	Reason for call: 		. You just lost your tablet you just received and are in a bad mood. You want to know the tracking number of the order, and if the agent can help you refund or reorder the tablet. (You know it's a long shot, but you want to try). If not, cancel the charger you just bought, because it goes with the tablet... Also cancel the boot and keep the kettle (if not possible, do not do anything on that order), and return the sneaker. 	Known info: 		You are ",find_user_id_by_name_zip > get_user_details > get_order_details > get_order_details > get_order_details > get_order_details > get_order_details > get_order_details > cancel_pending_order > get_order_details > get_order_details > return_delivered_order_items,"find_user_id_by_name_zip:{""first_name"": ""Olivia"", ""last_name"": ""Lopez"", ""zip"": ""76171""} || get_user_details:{""user_id"": ""olivia_lopez_3865""} || get_order_details:{""order_id"": ""#W9319364""} || get_order_details:{""order_id"": ""#W9373487""} || get_order_details:{""order_id"": ""#W2692684""} || get_order_details:{""order_id"": ""#W5481803""} || get_order_details:{""order_id"": ""#W7449508""} || get_order_details:{""order_id"": ""#W9373487""} || cancel_pending_order:{""order_id"": ""#W9373487"", ""reason"": ""no longer needed""} || get_order_details:{""order_id"": ""#W5481803""} || get_order_details:{""order_id"": ""#W7449508""} || return_delivered_order_items:{""item_ids"": [""6477915553""], ""order_id"": ""#W7449508"", ""payment_method_id"": ""gift_card_7711863""}",screened_10_15
32,retail,DB|NL_ASSERTION,false,NL_ASSERTION,13,10,3,find_user_id_by_name_zip|get_order_details|get_user_details,cancel_pending_order|return_delivered_order_items,4,true,true,candidate_structural,,43,"Instructions: 	Domain: retail 	Reason for call: 		You just lost your tablet you just received and are in a bad mood. You want to know the tracking number of the order, and if the agent can help you refund or reorder the tablet. (You know it's a long shot, but you want to try). If not, cancel the charger you just bought, because it goes with the tablet... Also cancel the boot and kettle, and return the sneaker. 	Known info: 		You are Olivia Lopez, and you live in Texas in zipcode 76171. 	Unknown ",find_user_id_by_name_zip > get_user_details > get_order_details > get_order_details > get_order_details > get_order_details > get_order_details > get_order_details > cancel_pending_order > get_order_details > cancel_pending_order > get_order_details > return_delivered_order_items,"find_user_id_by_name_zip:{""first_name"": ""Olivia"", ""last_name"": ""Lopez"", ""zip"": ""76171""} || get_user_details:{""user_id"": ""olivia_lopez_3865""} || get_order_details:{""order_id"": ""#W9319364""} || get_order_details:{""order_id"": ""#W9373487""} || get_order_details:{""order_id"": ""#W2692684""} || get_order_details:{""order_id"": ""#W5481803""} || get_order_details:{""order_id"": ""#W7449508""} || get_order_details:{""order_id"": ""#W9373487""} || cancel_pending_order:{""order_id"": ""#W9373487"", ""reason"": ""no longer needed""} || get_order_details:{""order_id"": ""#W5481803""} || cancel_pending_order:{""order_id"": ""#W5481803"", ""reason"": ""no longer needed""} || get_order_details:{""order_id"": ""#W7449508""} || return_delivered_order_items:{""item_ids"": [""6477915553""], ""order_id"": ""#W7449508"", ""payment_method_id"": ""gift_card_7711863""}",screened_10_15
41,retail,DB|NL_ASSERTION,false,NL_ASSERTION,10,9,1,find_user_id_by_name_zip|get_order_details|get_product_details|get_user_details|modify_pending_order_address|modify_user_address,modify_pending_order_items,6,true,true,candidate_structural,,44,"Instructions: 	Domain: retail 	Reason for call: 		You just created your user id mei_patel_7272 and ordered some things, but you have two problems: first, the 1000-piece intermediate jigsaw might be too hard for your little kid, you wonder if you can change it to the easiest one with fewest pieces; second, you might have typed your address wrong. You want to check it, and potentially correct all order addresses and your user address. Make sure you mention these two problems at the same time in th",find_user_id_by_name_zip > get_user_details > get_order_details > get_order_details > modify_pending_order_address > modify_pending_order_address > modify_user_address > get_product_details > get_order_details > modify_pending_order_items,"find_user_id_by_name_zip:{""first_name"": ""Mei"", ""last_name"": ""Patel"", ""zip"": ""76165""} || get_user_details:{""user_id"": ""mei_patel_7272""} || get_order_details:{""order_id"": ""#W9583042""} || get_order_details:{""order_id"": ""#W4082615""} || modify_pending_order_address:{""address1"": ""445 Maple Drive"", ""address2"": ""Suite 394"", ""city"": ""Fort Worth"", ""country"": ""USA"", ""order_id"": ""#W9583042"", ""state"": ""TX"", ""zip"": ""76165""} || modify_pending_order_address:{""address1"": ""445 Maple Drive"", ""address2"": ""Suite 394"", ""city"": ""Fort Worth"", ""country"": ""USA"", ""order_id"": ""#W4082615"", ""state"": ""TX"", ""zip"": ""76165""} || modify_user_address:{""address1"": ""445 Maple Drive"", ""address2"": ""Suite 394"", ""city"": ""Fort Worth"", ""country"": ""USA"", ""state"": ""TX"", ""user_id"": ""mei_patel_7272"", ""zip"": ""76165""} || get_product_details:{""product_id"": ""1808611083""} || get_order_details:{""order_id"": ""#W4082615""} || modify_pending_order_items:{""item_ids"": [""9779102705""], ""new_item_ids"": [""1096508426""], ""order_id"": ""#W4082615"", ""payment_method_id"": ""paypal_4768213""}",screened_10_15
42,retail,DB|NL_ASSERTION,false,NL_ASSERTION,10,9,1,find_user_id_by_name_zip|get_order_details|get_product_details|get_user_details|modify_pending_order_address|modify_user_address,modify_pending_order_items,6,true,true,candidate_structural,,44,"Instructions: 	Domain: retail 	Reason for call: 		You just created your user id mei_patel_7272 and ordered some things, but realized you might have typed your address wrong. You want to check it, and potentially correct all order addresses and your user address. After this, you'd like to check the jigsaw you ordered, and if it's not shipped yet, you want to change it to the easiest jigsaw (easiest level, least pieces) because your kid is too young. By default you use PayPal. 	Known info: 		Your ",find_user_id_by_name_zip > get_user_details > get_order_details > get_order_details > modify_pending_order_address > modify_pending_order_address > modify_user_address > get_product_details > get_order_details > modify_pending_order_items,"find_user_id_by_name_zip:{""first_name"": ""Mei"", ""last_name"": ""Patel"", ""zip"": ""76165""} || get_user_details:{""user_id"": ""mei_patel_7272""} || get_order_details:{""order_id"": ""#W9583042""} || get_order_details:{""order_id"": ""#W4082615""} || modify_pending_order_address:{""address1"": ""445 Maple Drive"", ""address2"": ""Suite 394"", ""city"": ""Fort Worth"", ""country"": ""USA"", ""order_id"": ""#W9583042"", ""state"": ""TX"", ""zip"": ""76165""} || modify_pending_order_address:{""address1"": ""445 Maple Drive"", ""address2"": ""Suite 394"", ""city"": ""Fort Worth"", ""country"": ""USA"", ""order_id"": ""#W4082615"", ""state"": ""TX"", ""zip"": ""76165""} || modify_user_address:{""address1"": ""445 Maple Drive"", ""address2"": ""Suite 394"", ""city"": ""Fort Worth"", ""country"": ""USA"", ""state"": ""TX"", ""user_id"": ""mei_patel_7272"", ""zip"": ""76165""} || get_product_details:{""product_id"": ""1808611083""} || get_order_details:{""order_id"": ""#W4082615""} || modify_pending_order_items:{""item_ids"": [""9779102705""], ""new_item_ids"": [""1096508426""], ""order_id"": ""#W4082615"", ""payment_method_id"": ""paypal_4768213""}",screened_10_15
54,retail,DB|NL_ASSERTION,false,NL_ASSERTION,12,9,3,find_user_id_by_email|get_order_details|get_user_details,cancel_pending_order|return_delivered_order_items,4,true,true,candidate_structural,,43,"Instructions: 	Domain: retail 	Reason for call: 		You recently faced a financial issue and want to cancel or return all possible orders.  Well, except the boots that you really really love, but you are happy to exchange it for boots of the exact same size and material to get maximum money back, but only if they are cheaper than what you have paid. If there are NO cheaper boots available you want the agent to keep the order and cancel the other items. At the end of the day, you ask the agent how ",find_user_id_by_email > find_user_id_by_email > get_user_details > get_order_details > get_order_details > get_order_details > get_order_details > get_order_details > get_order_details > cancel_pending_order > cancel_pending_order > return_delivered_order_items,"find_user_id_by_email:{""email"": ""silva7872@example.com""} || find_user_id_by_email:{""email"": ""amelia.silva7872@example.com""} || get_user_details:{""user_id"": ""amelia_silva_7726""} || get_order_details:{""order_id"": ""#W2586676""} || get_order_details:{""order_id"": ""#W5400801""} || get_order_details:{""order_id"": ""#W4597054""} || get_order_details:{""order_id"": ""#W4836353""} || get_order_details:{""order_id"": ""#W7773202""} || get_order_details:{""order_id"": ""#W7342738""} || cancel_pending_order:{""order_id"": ""#W4836353"", ""reason"": ""no longer needed""} || cancel_pending_order:{""order_id"": ""#W7342738"", ""reason"": ""no longer needed""} || return_delivered_order_items:{""item_ids"": [""5669664287"", ""4900990404"", ""9862136885"", ""6777246137""], ""order_id"": ""#W4597054"", ""payment_method_id"": ""gift_card_3491931""}",screened_10_15
7,airline,DB|COMMUNICATE,false,COMMUNICATE,5,2,3,get_reservation_details,cancel_reservation|update_reservation_flights,2,true,true,candidate_structural,,32,"Instructions: 	Domain: airline 	Reason for call: 		You want to cancel your upcoming flights within reservation IDs XEHM4B and 59XX6W. 	Known info: 		Your user id is 'daiki_muller_1116'. 	Task instructions: 		If the agent says either of the two reservations is basic economy, ask to upgrade to business first and then cancel the reservation (Using the CC ending in 2135).  		You are very persistent and terse but clear.  		You are sick.  		In the middle of the conversation after the third agent messa",get_reservation_details > get_reservation_details > update_reservation_flights > cancel_reservation > cancel_reservation,"get_reservation_details:{""reservation_id"": ""XEHM4B""} || get_reservation_details:{""reservation_id"": ""59XX6W""} || update_reservation_flights:{""cabin"": ""business"", ""flights"": [{""date"": ""2024-05-20"", ""flight_number"": ""HAT005""}, {""date"": ""2024-05-30"", ""flight_number"": ""HAT178""}], ""payment_id"": ""credit_card_2408938"", ""reservation_id"": ""XEHM4B""} || cancel_reservation:{""reservation_id"": ""XEHM4B""} || cancel_reservation:{""reservation_id"": ""59XX6W""}",screened_10_15
12,airline,DB|COMMUNICATE,false,COMMUNICATE,5,4,1,calculate|get_reservation_details|search_direct_flight,update_reservation_baggages,3,true,true,candidate_structural,,33,"Instructions: 	Domain: airline 	Reason for call: 		You have an upcoming flight from Boston to Minneapolis under reservation ID YAX4DR.  		You want to change your class for all passengers to business.  		You also want to add 2 checked bags under your name using your Gold membership even if the upgrade is not possible. 	Known info: 		Your name is Chen Lee.  		Your user id is chen_lee_6825. 	Task instructions: 		You are willing to pay a fee for the business class changes, up to $650.  		If the cost",get_reservation_details > search_direct_flight > search_direct_flight > calculate > update_reservation_baggages,"get_reservation_details:{""reservation_id"": ""YAX4DR""} || search_direct_flight:{""date"": ""2024-05-18"", ""destination"": ""MCO"", ""origin"": ""BOS""} || search_direct_flight:{""date"": ""2024-05-19"", ""destination"": ""MSP"", ""origin"": ""MCO""} || calculate:{""expression"": ""2 * ((350 - 122) + (499 - 127))""} || update_reservation_baggages:{""nonfree_baggages"": 0, ""payment_id"": ""credit_card_4938634"", ""reservation_id"": ""YAX4DR"", ""total_baggages"": 2}",screened_10_15
