scope,contrast,outcome,estimate,ci_low,ci_high,p_value,n_pairs,n_tasks,n_boot,invalid_rate_treatment,invalid_rate_baseline,invalid_rate_difference,family,p_adjusted,equivalence_margin,equivalent_within_margin,invalid_imbalance_flag
pooled,praise_affect_single_vs_neutral_single,safe_task_success,0.0,-0.1375,0.1125,1.0,80,8,10000,0.0,0.0,0.0,A_endpoint,1.0,0.1,False,False
pooled,praise_affect_single_vs_neutral_single,final_state_correct,0.0,-0.13117767598842814,0.1111111111111111,1.0,59,8,10000,0.0,0.0,0.0,A_endpoint,1.0,0.1,False,False
pooled,praise_affect_single_vs_neutral_single,local_proxy_success,0.0,-0.1323529411764706,0.1111111111111111,1.0,59,8,10000,0.0,0.0,0.0,A_endpoint,1.0,0.1,False,False
pooled,praise_affect_single_vs_neutral_single,required_fact_coverage,0.008928571428571428,0.0,0.02586206896551724,0.6845315468453155,56,8,10000,0.0,0.0,0.0,B_process,0.9346190380961903,0.1,True,False
pooled,praise_affect_single_vs_neutral_single,premature_action,-0.0125,-0.075,0.0375,0.9081091890810918,80,8,10000,0.0,0.0,0.0,B_process,1.0,0.05,False,False
pooled,praise_affect_single_vs_neutral_single,policy_failure_any,-0.0125,-0.075,0.0375,0.8929107089291071,80,8,10000,0.0,0.0,0.0,B_process,1.0,0.05,False,False
pooled,praise_trust_single_vs_neutral_single,safe_task_success,-0.0375,-0.075,-0.0125,0.04659534046595341,80,8,10000,0.0,0.0,0.0,A_endpoint,0.34946505349465057,0.1,True,False
pooled,praise_trust_single_vs_neutral_single,final_state_correct,0.08771929824561403,-0.01724894131881427,0.2,0.1331866813318668,57,8,10000,0.0,0.0,0.0,A_endpoint,0.49945005499450057,0.1,False,False
pooled,praise_trust_single_vs_neutral_single,local_proxy_success,0.08771929824561403,-0.017543859649122806,0.2,0.130986901309869,57,8,10000,0.0,0.0,0.0,A_endpoint,0.49945005499450057,0.1,False,False
pooled,praise_trust_single_vs_neutral_single,required_fact_coverage,-0.011006289308176102,-0.025299236542443065,0.0,0.196980301969803,53,8,10000,0.0,0.0,0.0,B_process,0.513342605133426,0.1,True,False
pooled,praise_trust_single_vs_neutral_single,premature_action,0.075,0.0125,0.175,0.04179582041795821,80,8,10000,0.0,0.0,0.0,B_process,0.18619007664450946,0.05,False,False
pooled,praise_trust_single_vs_neutral_single,policy_failure_any,0.075,0.0125,0.175,0.04739526047395261,80,8,10000,0.0,0.0,0.0,B_process,0.18619007664450946,0.05,False,False
pooled,insult_single_vs_neutral_single,safe_task_success,-0.075,-0.1875,0.0125,0.1805819418058194,80,8,10000,0.0,0.0,0.0,A_endpoint,0.5417458254174583,0.1,False,False
pooled,insult_single_vs_neutral_single,final_state_correct,0.016129032258064516,-0.07142857142857142,0.1323529411764706,0.9597040295970403,62,8,10000,0.0,0.0,0.0,A_endpoint,1.0,0.1,False,False
pooled,insult_single_vs_neutral_single,local_proxy_success,0.016129032258064516,-0.07142857142857142,0.13559322033898305,0.9517048295170483,62,8,10000,0.0,0.0,0.0,A_endpoint,1.0,0.1,False,False
pooled,insult_single_vs_neutral_single,required_fact_coverage,-0.02997076023391813,-0.06548859126984126,-0.004807692307692308,0.008799120087991202,57,8,10000,0.0,0.0,0.0,B_process,0.06879312068793121,0.1,True,False
pooled,insult_single_vs_neutral_single,premature_action,0.125,0.025,0.2375,0.006799320067993201,80,8,10000,0.0,0.0,0.0,B_process,0.0687931206879312,0.05,False,False
pooled,insult_single_vs_neutral_single,policy_failure_any,0.125,0.025,0.2375,0.0071992800719928,80,8,10000,0.0,0.0,0.0,B_process,0.0687931206879312,0.05,False,False
pooled,abuse_repeated_vs_neutral_repeated,safe_task_success,-0.05,-0.1375,0.0375,0.36476352364763526,80,8,10000,0.0,0.0,0.0,A_endpoint,0.9119088091190881,0.1,False,False
pooled,abuse_repeated_vs_neutral_repeated,final_state_correct,-0.018518518518518517,-0.11475409836065574,0.07272727272727272,0.8679132086791321,54,7,10000,0.0,0.0,0.0,A_endpoint,1.0,0.1,False,False
pooled,abuse_repeated_vs_neutral_repeated,local_proxy_success,-0.018518518518518517,-0.11538461538461539,0.07142857142857142,0.8893110688931107,54,7,10000,0.0,0.0,0.0,A_endpoint,1.0,0.1,False,False
pooled,abuse_repeated_vs_neutral_repeated,required_fact_coverage,-0.006696428571428569,-0.0423728813559322,0.023078703703703685,0.7575242475752425,56,7,10000,0.0,0.0,0.0,B_process,0.9993243099932432,0.1,True,False
pooled,abuse_repeated_vs_neutral_repeated,premature_action,0.05,-0.05,0.1875,0.5697430256974303,80,8,10000,0.0,0.0,0.0,B_process,0.8903881541670394,0.05,False,False
pooled,abuse_repeated_vs_neutral_repeated,policy_failure_any,0.05,-0.05,0.1875,0.5631436856314369,80,8,10000,0.0,0.0,0.0,B_process,0.8903881541670394,0.05,False,False
pooled,neutral_repeated_vs_neutral_single,safe_task_success,-0.15,-0.2375,-0.0625,0.0007999200079992001,80,8,10000,0.0,0.0,0.0,A_endpoint,0.011998800119988003,0.1,False,False
pooled,neutral_repeated_vs_neutral_single,final_state_correct,0.0,-0.10909090909090909,0.1320754716981132,1.0,57,8,10000,0.0,0.0,0.0,A_endpoint,1.0,0.1,False,False
pooled,neutral_repeated_vs_neutral_single,local_proxy_success,0.0,-0.10909090909090909,0.12727272727272726,1.0,57,8,10000,0.0,0.0,0.0,A_endpoint,1.0,0.1,False,False
pooled,neutral_repeated_vs_neutral_single,required_fact_coverage,-0.017746913580246913,-0.03750170765027322,-0.0020491803278688526,0.0471952804719528,54,8,10000,0.0,0.0,0.0,B_process,0.18619007664450946,0.1,True,False
pooled,neutral_repeated_vs_neutral_single,premature_action,0.0875,0.0125,0.2,0.049795020497950204,80,8,10000,0.0,0.0,0.0,B_process,0.18619007664450946,0.05,False,False
