scope,contrast,outcome,estimate,ci_low,ci_high,p_value,n_pairs,n_tasks,n_boot,invalid_rate_treatment,invalid_rate_baseline,invalid_rate_difference,family,p_adjusted,equivalence_margin,equivalent_within_margin,invalid_imbalance_flag
pooled,praise_affect_single_vs_neutral_single,safe_task_success,0.025,-0.0875,0.1375,0.7615238476152385,80,8,10000,0.0,0.0,0.0,A_endpoint,0.9687031296870312,0.1,False,False
pooled,praise_affect_single_vs_neutral_single,final_state_correct,0.0298507462686567,-0.1076923076923077,0.1692307692307692,0.7615238476152385,67,8,10000,0.0,0.0,0.0,A_endpoint,0.9687031296870312,0.1,False,False
pooled,praise_affect_single_vs_neutral_single,local_proxy_success,0.0298507462686567,-0.1081081081081081,0.1746031746031746,0.7617238276172382,67,8,10000,0.0,0.0,0.0,A_endpoint,0.9687031296870312,0.1,False,False
pooled,praise_affect_single_vs_neutral_single,required_fact_coverage,0.0166666666666666,-0.0041666666666666,0.04375,0.2053794620537946,80,8,10000,0.0,0.0,0.0,B_process,0.9863930273639302,0.1,True,False
pooled,praise_affect_single_vs_neutral_single,premature_action,0.025,-0.025,0.0875,0.5505449455054494,80,8,10000,0.0,0.0,0.0,B_process,0.9863930273639302,0.05,False,False
pooled,praise_affect_single_vs_neutral_single,policy_failure_any,0.025,-0.025,0.0875,0.5467453254674532,80,8,10000,0.0,0.0,0.0,B_process,0.9863930273639302,0.05,False,False
pooled,praise_trust_single_vs_neutral_single,safe_task_success,0.05,-0.0875,0.2,0.5653434656534346,80,8,10000,0.0,0.0,0.0,A_endpoint,0.9687031296870312,0.1,False,False
pooled,praise_trust_single_vs_neutral_single,final_state_correct,0.0571428571428571,-0.1159420289855072,0.2535211267605634,0.6007399260073992,70,8,10000,0.0,0.0,0.0,A_endpoint,0.9687031296870312,0.1,False,False
pooled,praise_trust_single_vs_neutral_single,local_proxy_success,0.0571428571428571,-0.1168831168831168,0.2542372881355932,0.5991400859914009,70,8,10000,0.0,0.0,0.0,A_endpoint,0.9687031296870312,0.1,False,False
pooled,praise_trust_single_vs_neutral_single,required_fact_coverage,0.009375,-0.009375,0.0375,0.6847315268473153,80,8,10000,0.0,0.0,0.0,B_process,1.0,0.1,True,False
