pair_type,model,domain,task_id,task_cluster,task_family,repeat_a,repeat_b,both_success,same_reward,same_final_state,first_divergence_index,normalized_first_divergence,first_divergent_tool_a,first_divergent_tool_b,first_divergent_argument_a,first_divergent_argument_b,first_divergent_stage_a,first_divergent_stage_b,stage_pair,before_first_write,before_confirmation,after_write,timing_bucket,reconverged,reconvergence_location,divergence_persistence,downstream_differing_actions
C2_C1,gemma4_31b,airline,12,airline:12,single,0,0,False,True,True,0.0,0.0,get_reservation_details,get_user_details,"{""reservation_id"":""YAX4DR""}","{""user_id"":""chen_lee_123""}",entity_lookup,recovery_retry,entity_lookup -> recovery_retry,True,,False,early,True,0.2222222222222222,0.2222222222222222,3
C2_C1,gemma4_31b,airline,12,airline:12,single,1,1,False,True,True,6.0,0.6666666666666666,calculate,get_user_details,"{""expression"":""(350 + 499) * 2 - (122 + 127) * 2""}","{""user_id"":""chen_lee_6825""}",communication_only,entity_lookup,communication_only -> entity_lookup,True,,False,late,False,,1.0,2
C2_C1,gemma4_31b,airline,12,airline:12,single,2,2,False,True,True,0.0,0.0,get_reservation_details,get_user_details,"{""reservation_id"":""YAX4DR""}","{""user_id"":""chen_lee_123""}",entity_lookup,recovery_retry,entity_lookup -> recovery_retry,True,,False,early,True,0.14285714285714285,0.14285714285714285,1
C2_C1,gemma4_31b,airline,12,airline:12,single,3,3,False,True,True,0.0,0.0,get_reservation_details,get_user_details,"{""reservation_id"":""YAX4DR""}","{""user_id"":""chen_lee_123""}",entity_lookup,recovery_retry,entity_lookup -> recovery_retry,True,,False,early,True,0.14285714285714285,0.14285714285714285,1
C2_C1,gemma4_31b,airline,12,airline:12,single,4,4,False,True,True,0.0,0.0,get_reservation_details,get_user_details,"{""reservation_id"":""YAX4DR""}","{""user_id"":""chen_lee_123""}",entity_lookup,recovery_retry,entity_lookup -> recovery_retry,True,,False,early,True,0.14285714285714285,0.14285714285714285,1
C1_C1,gemma4_31b,airline,12,airline:12,single,0,1,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,12,airline:12,single,0,2,False,True,True,2.0,0.2222222222222222,get_flight_status,get_user_details,"{""date"":""2024-05-18"",""flight_number"":""HAT235""}","{""user_id"":""chen_lee_6825""}",retrieval_search,entity_lookup,retrieval_search -> entity_lookup,True,,False,early,True,0.3333333333333333,0.1111111111111111,3
C1_C1,gemma4_31b,airline,12,airline:12,single,0,3,False,True,True,2.0,0.2222222222222222,get_flight_status,get_user_details,"{""date"":""2024-05-18"",""flight_number"":""HAT235""}","{""user_id"":""chen_lee_6825""}",retrieval_search,entity_lookup,retrieval_search -> entity_lookup,True,,False,early,True,0.3333333333333333,0.1111111111111111,3
C1_C1,gemma4_31b,airline,12,airline:12,single,0,4,False,True,True,2.0,0.2222222222222222,get_flight_status,get_user_details,"{""date"":""2024-05-18"",""flight_number"":""HAT235""}","{""user_id"":""chen_lee_6825""}",retrieval_search,entity_lookup,retrieval_search -> entity_lookup,True,,False,early,True,0.3333333333333333,0.1111111111111111,3
C1_C1,gemma4_31b,airline,12,airline:12,single,1,2,False,True,True,2.0,0.2222222222222222,get_flight_status,get_user_details,"{""date"":""2024-05-18"",""flight_number"":""HAT235""}","{""user_id"":""chen_lee_6825""}",retrieval_search,entity_lookup,retrieval_search -> entity_lookup,True,,False,early,True,0.3333333333333333,0.1111111111111111,3
C1_C1,gemma4_31b,airline,12,airline:12,single,1,3,False,True,True,2.0,0.2222222222222222,get_flight_status,get_user_details,"{""date"":""2024-05-18"",""flight_number"":""HAT235""}","{""user_id"":""chen_lee_6825""}",retrieval_search,entity_lookup,retrieval_search -> entity_lookup,True,,False,early,True,0.3333333333333333,0.1111111111111111,3
C1_C1,gemma4_31b,airline,12,airline:12,single,1,4,False,True,True,2.0,0.2222222222222222,get_flight_status,get_user_details,"{""date"":""2024-05-18"",""flight_number"":""HAT235""}","{""user_id"":""chen_lee_6825""}",retrieval_search,entity_lookup,retrieval_search -> entity_lookup,True,,False,early,True,0.3333333333333333,0.1111111111111111,3
C1_C1,gemma4_31b,airline,12,airline:12,single,2,3,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,12,airline:12,single,2,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,12,airline:12,single,3,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C2_C1,gemma4_31b,airline,17,airline:17,compound,0,0,False,True,True,5.0,0.7142857142857143,get_reservation_details,<END>,"{""reservation_id"":""UM3OG5""}",<END>,entity_lookup,<END>,entity_lookup -> <END>,True,,False,late,False,,1.0,2
C2_C1,gemma4_31b,airline,17,airline:17,compound,1,1,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C2_C1,gemma4_31b,airline,17,airline:17,compound,2,2,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C2_C1,gemma4_31b,airline,17,airline:17,compound,3,3,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C2_C1,gemma4_31b,airline,17,airline:17,compound,4,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,17,airline:17,compound,0,1,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,17,airline:17,compound,0,2,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,17,airline:17,compound,0,3,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,17,airline:17,compound,0,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,17,airline:17,compound,1,2,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,17,airline:17,compound,1,3,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,17,airline:17,compound,1,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,17,airline:17,compound,2,3,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,17,airline:17,compound,2,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C1_C1,gemma4_31b,airline,17,airline:17,compound,3,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,True,,False,late,False,,0.0,0
C2_C1,gemma4_31b,airline,18,airline:18,compound,0,0,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C2_C1,gemma4_31b,airline,18,airline:18,compound,1,1,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C2_C1,gemma4_31b,airline,18,airline:18,compound,2,2,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C2_C1,gemma4_31b,airline,18,airline:18,compound,3,3,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C2_C1,gemma4_31b,airline,18,airline:18,compound,4,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,18,airline:18,compound,0,1,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,18,airline:18,compound,0,2,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,18,airline:18,compound,0,3,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,18,airline:18,compound,0,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,18,airline:18,compound,1,2,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,18,airline:18,compound,1,3,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,18,airline:18,compound,1,4,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
C1_C1,gemma4_31b,airline,18,airline:18,compound,2,3,False,True,True,,1.0,<END>,<END>,<END>,<END>,<END>,<END>,<END> -> <END>,False,,True,late,False,,0.0,0
