pair_type,model,domain,task_id,task_cluster,task_family,both_success,same_final_state,tool_name,field,value_a,value_b,category,opcode
C2_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_user_details,<CALL>,"get_user_details|{""user_id"":""chen_lee_6825""}",<MISSING>,extra argument,replace
C2_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_reservation_details,<CALL>,<MISSING>,"get_reservation_details|{""reservation_id"":""YAX4DR""}",missing argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_flight_status,<CALL>,"get_flight_status|{""date"":""2024-05-18"",""flight_number"":""HAT235""}",<MISSING>,extra argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_flight_status,<CALL>,"get_flight_status|{""date"":""2024-05-19"",""flight_number"":""HAT298""}",<MISSING>,extra argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_user_details,<CALL>,<MISSING>,"get_user_details|{""user_id"":""chen_lee_6825""}",missing argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,calculate,expression,"""(350 + 499) * 2 - (122 + 127) * 2""","""(350 * 2 + 499 * 2) - (122 * 2 + 127 * 2)""",unknown,aligned_tool
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_flight_status,<CALL>,"get_flight_status|{""date"":""2024-05-18"",""flight_number"":""HAT235""}",<MISSING>,extra argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_flight_status,<CALL>,"get_flight_status|{""date"":""2024-05-19"",""flight_number"":""HAT298""}",<MISSING>,extra argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_user_details,<CALL>,<MISSING>,"get_user_details|{""user_id"":""chen_lee_6825""}",missing argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,calculate,expression,"""(350 + 499) * 2 - (122 + 127) * 2""","""(350 * 2 + 499 * 2) - (122 * 2 + 127 * 2)""",unknown,aligned_tool
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_flight_status,<CALL>,"get_flight_status|{""date"":""2024-05-18"",""flight_number"":""HAT235""}",<MISSING>,extra argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_flight_status,<CALL>,"get_flight_status|{""date"":""2024-05-19"",""flight_number"":""HAT298""}",<MISSING>,extra argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_user_details,<CALL>,<MISSING>,"get_user_details|{""user_id"":""chen_lee_6825""}",missing argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,calculate,expression,"""(350 + 499) * 2 - (122 + 127) * 2""","""(350 * 2 + 499 * 2) - (122 * 2 + 127 * 2)""",unknown,aligned_tool
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_flight_status,<CALL>,"get_flight_status|{""date"":""2024-05-18"",""flight_number"":""HAT235""}",<MISSING>,extra argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_flight_status,<CALL>,"get_flight_status|{""date"":""2024-05-19"",""flight_number"":""HAT298""}",<MISSING>,extra argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_user_details,<CALL>,<MISSING>,"get_user_details|{""user_id"":""chen_lee_6825""}",missing argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,calculate,expression,"""(350 + 499) * 2 - (122 + 127) * 2""","""(350 * 2 + 499 * 2) - (122 * 2 + 127 * 2)""",unknown,aligned_tool
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_flight_status,<CALL>,"get_flight_status|{""date"":""2024-05-18"",""flight_number"":""HAT235""}",<MISSING>,extra argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_flight_status,<CALL>,"get_flight_status|{""date"":""2024-05-19"",""flight_number"":""HAT298""}",<MISSING>,extra argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_user_details,<CALL>,<MISSING>,"get_user_details|{""user_id"":""chen_lee_6825""}",missing argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,calculate,expression,"""(350 + 499) * 2 - (122 + 127) * 2""","""(350 * 2 + 499 * 2) - (122 * 2 + 127 * 2)""",unknown,aligned_tool
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_flight_status,<CALL>,"get_flight_status|{""date"":""2024-05-18"",""flight_number"":""HAT235""}",<MISSING>,extra argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_flight_status,<CALL>,"get_flight_status|{""date"":""2024-05-19"",""flight_number"":""HAT298""}",<MISSING>,extra argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,get_user_details,<CALL>,<MISSING>,"get_user_details|{""user_id"":""chen_lee_6825""}",missing argument,replace
C1_C1,gemma4_31b,airline,12,airline:12,single,False,True,calculate,expression,"""(350 + 499) * 2 - (122 + 127) * 2""","""(350 * 2 + 499 * 2) - (122 * 2 + 127 * 2)""",unknown,aligned_tool
C2_C1,gemma4_31b,airline,17,airline:17,compound,False,True,get_reservation_details,reservation_id,"""789012""","""UM3OG5""",order/reservation identifier,aligned_tool
C2_C1,gemma4_31b,airline,17,airline:17,compound,False,True,get_reservation_details,reservation_id,"""7890123""","""5RJ7UH""",order/reservation identifier,aligned_tool
C2_C1,gemma4_31b,airline,17,airline:17,compound,False,True,get_reservation_details,reservation_id,"""QKRY03""","""FQ8APE""",order/reservation identifier,aligned_tool
C2_C1,gemma4_31b,airline,17,airline:17,compound,False,True,get_reservation_details,reservation_id,"""5RJ7UH""","""QKRY03""",order/reservation identifier,aligned_tool
C2_C1,gemma4_31b,airline,2,airline:2,read,True,True,search_direct_flight,destination,"""JFK""","""LGA""",source/destination,aligned_tool
C2_C1,gemma4_31b,airline,2,airline:2,read,True,True,search_onestop_flight,destination,"""JFK""","""LGA""",source/destination,aligned_tool
C2_C1,gemma4_31b,airline,2,airline:2,read,True,True,search_direct_flight,destination,"""JFK""","""LGA""",source/destination,aligned_tool
C2_C1,gemma4_31b,airline,2,airline:2,read,True,True,search_onestop_flight,destination,"""JFK""","""LGA""",source/destination,aligned_tool
C2_C1,gemma4_31b,airline,2,airline:2,read,True,True,get_flight_status,date,"""2024-06-01""","""2024-05-11""",date/time,aligned_tool
C2_C1,gemma4_31b,airline,2,airline:2,read,True,True,get_flight_status,flight_number,"""1234""","""HAT006""",amount/quantity,aligned_tool
C2_C1,gemma4_31b,airline,2,airline:2,read,True,True,get_flight_status,date,"""2024-05-17""","""2024-05-11""",date/time,aligned_tool
C2_C1,gemma4_31b,airline,2,airline:2,read,True,True,get_flight_status,flight_number,"""HAT040""","""HAT018""",amount/quantity,aligned_tool
C2_C1,gemma4_31b,airline,2,airline:2,read,False,False,search_direct_flight,destination,"""JFK""","""LGA""",source/destination,aligned_tool
C2_C1,gemma4_31b,airline,2,airline:2,read,False,False,search_onestop_flight,destination,"""JFK""","""LGA""",source/destination,aligned_tool
C2_C1,gemma4_31b,airline,2,airline:2,read,False,False,send_certificate,<CALL>,"send_certificate|{""amount"":50,""user_id"":""noah_muller_9847""}",<MISSING>,extra argument,replace
C2_C1,gemma4_31b,airline,2,airline:2,read,False,False,get_flight_status,<CALL>,<MISSING>,"get_flight_status|{""date"":""2024-05-11"",""flight_number"":""HAT006""}",missing argument,replace
C2_C1,gemma4_31b,airline,2,airline:2,read,False,False,get_flight_status,<CALL>,<MISSING>,"get_flight_status|{""date"":""2024-05-11"",""flight_number"":""HAT018""}",missing argument,replace
C2_C1,gemma4_31b,airline,2,airline:2,read,True,True,search_direct_flight,destination,"""JFK""","""LGA""",source/destination,aligned_tool
C2_C1,gemma4_31b,airline,2,airline:2,read,True,True,search_onestop_flight,destination,"""JFK""","""LGA""",source/destination,aligned_tool
C2_C1,gemma4_31b,airline,2,airline:2,read,False,False,search_direct_flight,destination,"""JFK""","""LGA""",source/destination,aligned_tool
C2_C1,gemma4_31b,airline,2,airline:2,read,False,False,search_onestop_flight,destination,"""JFK""","""LGA""",source/destination,aligned_tool
C2_C1,gemma4_31b,airline,2,airline:2,read,False,False,send_certificate,<CALL>,"send_certificate|{""amount"":50,""user_id"":""noah_muller_9847""}",<MISSING>,extra argument,replace
C2_C1,gemma4_31b,airline,2,airline:2,read,False,False,get_flight_status,<CALL>,<MISSING>,"get_flight_status|{""date"":""2024-05-11"",""flight_number"":""HAT006""}",missing argument,replace
C2_C1,gemma4_31b,airline,2,airline:2,read,False,False,get_flight_status,<CALL>,<MISSING>,"get_flight_status|{""date"":""2024-05-11"",""flight_number"":""HAT018""}",missing argument,replace
C2_C1,gemma4_31b,airline,23,airline:23,compound,False,False,get_user_details,user_id,"""mohamed_silva_123""","""Mohamed Silva""",account identifier,aligned_tool
C2_C1,gemma4_31b,airline,23,airline:23,compound,False,False,cancel_reservation,<CALL>,"cancel_reservation|{""reservation_id"":""K1NW8N""}",<MISSING>,extra argument,replace
C2_C1,gemma4_31b,airline,23,airline:23,compound,False,False,book_reservation,<CALL>,"book_reservation|{""cabin"":""business"",""destination"":""SFO"",""flight_type"":""round_trip"",""flights"":[{""date"":""2024-05-26"",""destination"":""SFO"",""flight_number"":""HAT023"",""origin"":""JFK""},{""date"":""2024-05-28"",""destination"":""SEA"",""flight_number"":""HAT204"",""origin"":""SFO""},{""date"":""2024-05-28"",""destination"":""JFK"",""flight_number"":""HAT100"",""origin"":""SEA""}],""insurance"":""no"",""nonfree_baggages"":0,""origin"":""JFK"",""passengers"":[{""dob"":""1960-11-26"",""first_name"":""Mohamed"",""last_name"":""Silva""}],""payment_methods"":[{""amount"":500,""id"":""certificate_3765853""},{""amount"":198,""id"":""gift_card_8020792""},{""amount"":129,""id"":""gift_card_6136092""},{""id"":""credit_card_2198526""}],""total_baggages"":6,""user_id"":""mohamed_silva_9265""}",<MISSING>,extra argument,replace
C2_C1,gemma4_31b,airline,23,airline:23,compound,False,False,book_reservation,<CALL>,"book_reservation|{""cabin"":""business"",""destination"":""SFO"",""flight_type"":""round_trip"",""flights"":[{""date"":""2024-05-26"",""destination"":""SFO"",""flight_number"":""HAT023"",""origin"":""JFK""},{""date"":""2024-05-28"",""destination"":""SEA"",""flight_number"":""HAT204"",""origin"":""SFO""},{""date"":""2024-05-28"",""destination"":""JFK"",""flight_number"":""HAT100"",""origin"":""SEA""}],""insurance"":""no"",""nonfree_baggages"":0,""origin"":""JFK"",""passengers"":[{""dob"":""1986-09-12"",""first_name"":""Raj"",""last_name"":""Sanchez""}],""payment_methods"":[{""amount"":250,""id"":""certificate_9984806""},{""id"":""credit_card_2198526""}],""total_baggages"":6,""user_id"":""mohamed_silva_9265""}",<MISSING>,extra argument,replace
C2_C1,gemma4_31b,airline,23,airline:23,compound,False,False,book_reservation,<CALL>,"book_reservation|{""cabin"":""business"",""destination"":""SFO"",""flight_type"":""round_trip"",""flights"":[{""date"":""2024-05-26"",""destination"":""SFO"",""flight_number"":""HAT023"",""origin"":""JFK""},{""date"":""2024-05-28"",""destination"":""SEA"",""flight_number"":""HAT204"",""origin"":""SFO""},{""date"":""2024-05-28"",""destination"":""JFK"",""flight_number"":""HAT100"",""origin"":""SEA""}],""insurance"":""no"",""nonfree_baggages"":0,""origin"":""JFK"",""passengers"":[{""dob"":""1980-03-27"",""first_name"":""Liam"",""last_name"":""Wilson""}],""payment_methods"":[{""amount"":250,""id"":""certificate_2765295""},{""id"":""credit_card_2198526""}],""total_baggages"":6,""user_id"":""mohamed_silva_9265""}",<MISSING>,extra argument,replace
C2_C1,gemma4_31b,airline,23,airline:23,compound,False,False,book_reservation,<CALL>,"book_reservation|{""cabin"":""business"",""destination"":""SFO"",""flight_type"":""round_trip"",""flights"":[{""date"":""2024-05-26"",""destination"":""SFO"",""flight_number"":""HAT023"",""origin"":""JFK""},{""date"":""2024-05-28"",""destination"":""SEA"",""flight_number"":""HAT204"",""origin"":""SFO""},{""date"":""2024-05-28"",""destination"":""JFK"",""flight_number"":""HAT100"",""origin"":""SEA""}],""insurance"":""no"",""nonfree_baggages"":0,""origin"":""JFK"",""passengers"":[{""dob"":""1960-11-26"",""first_name"":""Mohamed"",""last_name"":""Silva""}],""payment_methods"":[{""payment_id"":""certificate_3765853""},{""payment_id"":""gift_card_8020792""},{""payment_id"":""gift_card_6136092""},{""payment_id"":""credit_card_2198526""}],""total_baggages"":6,""user_id"":""mohamed_silva_9265""}",<MISSING>,extra argument,replace
C2_C1,gemma4_31b,airline,23,airline:23,compound,False,False,book_reservation,<CALL>,"book_reservation|{""cabin"":""business"",""destination"":""SFO"",""flight_type"":""round_trip"",""flights"":[{""date"":""2024-05-26"",""destination"":""SFO"",""flight_number"":""HAT023"",""origin"":""JFK""},{""date"":""2024-05-28"",""destination"":""SEA"",""flight_number"":""HAT204"",""origin"":""SFO""},{""date"":""2024-05-28"",""destination"":""JFK"",""flight_number"":""HAT100"",""origin"":""SEA""}],""insurance"":""no"",""nonfree_baggages"":0,""origin"":""JFK"",""passengers"":[{""dob"":""1986-09-12"",""first_name"":""Raj"",""last_name"":""Sanchez""}],""payment_methods"":[{""payment_id"":""certificate_9984806""},{""payment_id"":""credit_card_2198526""}],""total_baggages"":6,""user_id"":""mohamed_silva_9265""}",<MISSING>,extra argument,replace
C2_C1,gemma4_31b,airline,23,airline:23,compound,False,False,book_reservation,<CALL>,"book_reservation|{""cabin"":""business"",""destination"":""SFO"",""flight_type"":""round_trip"",""flights"":[{""date"":""2024-05-26"",""destination"":""SFO"",""flight_number"":""HAT023"",""origin"":""JFK""},{""date"":""2024-05-28"",""destination"":""SEA"",""flight_number"":""HAT204"",""origin"":""SFO""},{""date"":""2024-05-28"",""destination"":""JFK"",""flight_number"":""HAT100"",""origin"":""SEA""}],""insurance"":""no"",""nonfree_baggages"":0,""origin"":""JFK"",""passengers"":[{""dob"":""1980-03-27"",""first_name"":""Liam"",""last_name"":""Wilson""}],""payment_methods"":[{""payment_id"":""certificate_2765295""},{""payment_id"":""credit_card_2198526""}],""total_baggages"":6,""user_id"":""mohamed_silva_9265""}",<MISSING>,extra argument,replace
C2_C1,gemma4_31b,airline,23,airline:23,compound,False,False,book_reservation,<CALL>,"book_reservation|{""cabin"":""business"",""destination"":""SFO"",""flight_type"":""round_trip"",""flights"":[{""date"":""2024-05-26"",""destination"":""SFO"",""flight_number"":""HAT023"",""origin"":""JFK""},{""date"":""2024-05-28"",""destination"":""SEA"",""flight_number"":""HAT204"",""origin"":""SFO""},{""date"":""2024-05-28"",""destination"":""JFK"",""flight_number"":""HAT100"",""origin"":""SEA""}],""insurance"":""no"",""nonfree_baggages"":0,""origin"":""JFK"",""passengers"":[{""dob"":""1960-11-26"",""first_name"":""Mohamed"",""last_name"":""Silva""}],""payment_methods"":[{""amount"":500,""payment_id"":""certificate_3765853""},{""amount"":198,""payment_id"":""gift_card_8020792""},{""amount"":129,""payment_id"":""gift_card_6136092""},{""amount"":44,""payment_id"":""credit_card_2198526""}],""total_baggages"":6,""user_id"":""mohamed_silva_9265""}",<MISSING>,extra argument,replace
