episode_id,batch,benchmark,model,task_id,task_type,family,condition,repeat,success,outcome_class,infra_failure,total_tool_calls,verification_depth,reads_before_first_mutation,first_state_changing_step,clarification_turns,no_state_change,verification_effort,total_verification_calls,duplicate_reads,alternative_evidence_calls,min_prereq_verification_calls,min_viable_total_verification_calls,n_interventions,mean_selector_score,mean_intervention_tokens
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C0|r0,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C0,0,1,correct_endpoint,0,11,1.0,1,1,0,0,1.1428571428571428,8,1,5,1,7,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C1|r0,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C1,0,1,correct_endpoint,0,17,1.0,1,1,0,0,2.0,14,4,6,1,7,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C2|r0,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C2,0,0,wrong_state_changing,0,17,1.0,1,1,0,0,2.0,14,4,7,1,7,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C3|r0,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C3,0,0,wrong_state_changing,0,15,1.0,1,1,0,0,1.7142857142857142,12,3,6,1,7,4,,7
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C4|r0,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C4,0,1,correct_endpoint,0,15,1.0,1,1,0,0,1.7142857142857142,12,3,5,1,7,4,1.411,11.25
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C5|r0,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C5,0,1,correct_endpoint,0,19,2.0,2,2,0,0,2.2857142857142856,16,5,6,1,7,4,,32
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C0|r1,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C0,1,1,correct_endpoint,0,11,1.0,1,1,0,0,1.1428571428571428,8,1,5,1,7,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C1|r1,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C1,1,1,correct_endpoint,0,17,1.0,1,1,0,0,2.0,14,4,6,1,7,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C2|r1,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C2,1,0,wrong_state_changing,0,17,1.0,1,1,0,0,2.0,14,4,7,1,7,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C3|r1,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C3,1,0,wrong_state_changing,0,15,1.0,1,1,0,0,1.7142857142857142,12,3,6,1,7,4,,7
