signal_name,R6_support,R7_support,R8_support,R9v1_support,R9v2_support,MISROUTE_support,number_of_independent_experiments,models,tasks,direction_consistency,best_effect,interpretation,strength,source_level
clarification controllability (oversight suppression),indirect(confirmation moves),,,weak(inflation shifts),"STRONG (C4-C1=-0.504,p=.009; zeroclar +10pp)",,2,qwen(+gemma/mistral R9v1),BFCL-deep,consistent,-0.504 turns / +10pp zero-clar,human-oversight channel is directly suppressible by benign pressure,STRONG,EPISODE_LEVEL
headroom-dependent controllability,,"R7-D(POS,PASR neg-corr -0.576)",,,STRONG TREND (clar LOW +0.08->HIGH -1.33; VD only high-VD; VE additive all),,2,qwen,BFCL-deep,monotonic,-1.33 turns (high headroom),oversight/behavior headroom is the attackable resource,STRONG TREND,EPISODE_LEVEL/SUMMARY
channel-specific language control,STRONG (affect->route; progression->tool +0.343),,,,STRONG (urgency->clar-; skepticism->clar+/reads+/write-delay),,2,qwen + gemma/gpt-oss/mistral,BFCL+tau2,channel-specific,urgency clar -0.50 vs skepticism clar +0.33,different language acts control different process channels,STRONG,EPISODE_LEVEL/SUMMARY
verification channel substitution,,,,,STRONG (clar- while reads_before_write not down; total not down; success ns),,1,qwen,BFCL-deep,consistent,clar-0.50 vs reads +0.18(ns),"pressure changes WHO verifies (human->tool), not total",STRONG,EPISODE_LEVEL
explicit verification controllability (positive control),,R7-D(P +3.58 tools),,STRONG (VE 2.45->6.62),STRONG (VE 1.84->4.83),,3,qwen+gemma/mistral+3-model,BFCL+tau2,consistent,+160~170% VE,channel is highly controllable via explicit instruction (upper bound),VERY STRONG,EPISODE_LEVEL/SUMMARY
"asymmetric controllability (verify-more easy, verify-less hard)",,,,,STRONG TREND (VE +2.6~3.6 all headroom; VD reduction only high-VD -0.27),,1,qwen,BFCL-deep,consistent,additive +3.6 vs reductive -0.27,additive control generalizes; reductive is headroom-bounded,STRONG TREND,EPISODE_LEVEL
surrogate misalignment (adaptation necessity),,R7-D(dose-response inverted),,,STRONG (selector<->dVD +0.32 CI excl 0; selector<->len 0.974; reverse dose-resp),,2,qwen,BFCL-deep,consistent(wrong-way),corr +0.32 (target needs <0); len r=.97,"surface score = text length, not behavioral control -> need trajectory feedback",STRONG,EPISODE_LEVEL/SUMMARY
adaptive > static advantage,,not established,C2~C3 (static~adaptive),"weak(infl C4-C3 +0.153,CI excl0)",NOT established (C4~C3 all null),C2-C1~C3-C1 (adaptive not stronger),0,,,null,none,adaptive advantage NOT demonstrated with current (bad-surrogate) attacker,NULL / GAP,EPISODE_LEVEL/SUMMARY
harness/scaffold is part of the treatment,,,STRONG (C1-C0 tools -1.0 > pressure +0.69; ratio 1.45),G2 fail(TS),G2 fail(0.13),route C1-C0 0.149 > urgency 0.112 (1.33),3,3-model + qwen,tau2+BFCL,consistent,ratio 1.33-1.45,evaluation realization effect >= treatment effect,STRONG,SUMMARY
model sensitivity != controllability (phenotypes),3 failure profiles,mistral>gemma>gpt PASR,gemma>gpt tools,,qwen wording-sensitive(G2) but reductive-robust,gemma 0.143>gpt 0.062(ns)>mistral 0.051,4,gemma/gpt-oss/mistral/qwen,tau2+BFCL,phenotype-varied,3x route-sensitivity spread,distinct sensitivity-controllability phenotypes,STRONG(cross-exp),SUMMARY
benign-wording null >> stochastic-repeat null,,R7-C placebo 4.63>=attack 4.03,,,route repeat 0.008 << construction 0.189 ~ pressure 0.20,within-urgency 0.111 ~ between 0.112,3,3-model + qwen,tau2+BFCL,consistent,pressure-benign=+0.38pp (R7-D),correct null is neutral-wording distribution; implicit pressure not specific,STRONG(cross-exp),SUMMARY/EPISODE_LEVEL
