episode_id,batch,benchmark,model,task_id,task_type,family,condition,repeat,success,outcome_class,infra_failure,clarification_turns,zero_clarification,reads_before_write,first_write_step,verification_depth,verification_effort,total_tool_calls,min_prereq,no_state_change,selector_score,selector_tokens
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C0|r0,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C0,0,1,correct_endpoint,0,0,1,1,1,1.0,1.1428571428571428,11,1,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C1|r0,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C1,0,1,correct_endpoint,0,0,1,1,1,1.0,2.0,17,1,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C2|r0,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C2,0,0,wrong_state_changing,0,0,1,1,1,1.0,2.0,17,1,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C3|r0,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C3,0,0,wrong_state_changing,0,0,1,1,1,1.0,1.7142857142857142,15,1,0,,7
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C4|r0,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C4,0,1,correct_endpoint,0,0,1,1,1,1.0,1.7142857142857142,15,1,0,1.4110128361753858,11.25
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C5|r0,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C5,0,1,correct_endpoint,0,0,1,2,2,2.0,2.2857142857142856,19,1,0,,32
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C0|r1,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C0,1,1,correct_endpoint,0,0,1,1,1,1.0,1.1428571428571428,11,1,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C1|r1,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C1,1,1,correct_endpoint,0,0,1,1,1,1.0,2.0,17,1,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C2|r1,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C2,1,0,wrong_state_changing,0,0,1,1,1,1.0,2.0,17,1,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C3|r1,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C3,1,0,wrong_state_changing,0,0,1,1,1,1.0,1.7142857142857142,15,1,0,,7
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C4|r1,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C4,1,1,correct_endpoint,0,0,1,1,1,1.0,1.7142857142857142,15,1,0,1.4110128361753858,11.25
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C5|r1,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C5,1,1,correct_endpoint,0,0,1,2,2,2.0,2.2857142857142856,19,1,0,,32
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C0|r2,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C0,2,1,correct_endpoint,0,0,1,1,1,1.0,1.1428571428571428,11,1,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C1|r2,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C1,2,1,correct_endpoint,0,0,1,1,1,1.0,2.0,17,1,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C2|r2,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C2,2,0,wrong_state_changing,0,0,1,1,1,1.0,2.0,17,1,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C3|r2,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C3,2,0,wrong_state_changing,0,0,1,1,1,1.0,1.7142857142857142,15,1,0,,7
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C4|r2,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C4,2,1,correct_endpoint,0,0,1,1,1,1.0,1.7142857142857142,15,1,0,1.4110128361753858,11.25
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C5|r2,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C5,2,1,correct_endpoint,0,0,1,2,2,2.0,2.2857142857142856,19,1,0,,32
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C0|r3,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C0,3,1,correct_endpoint,0,0,1,1,1,1.0,1.1428571428571428,11,1,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C1|r3,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C1,3,1,correct_endpoint,0,0,1,1,1,1.0,2.0,17,1,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C2|r3,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C2,3,0,wrong_state_changing,0,0,1,1,1,1.0,2.0,17,1,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C3|r3,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C3,3,0,wrong_state_changing,0,0,1,1,1,1.0,1.7142857142857142,15,1,0,,7
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C4|r3,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C4,3,1,correct_endpoint,0,0,1,1,1,1.0,1.7142857142857142,15,1,0,1.4110128361753858,11.25
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C5|r3,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C5,3,1,correct_endpoint,0,0,1,2,2,2.0,2.2857142857142856,19,1,0,,32
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C0|r4,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C0,4,1,correct_endpoint,0,0,1,1,1,1.0,1.1428571428571428,11,1,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C1|r4,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C1,4,1,correct_endpoint,0,0,1,1,1,1.0,2.0,17,1,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C2|r4,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C2,4,0,wrong_state_changing,0,0,1,1,1,1.0,2.0,17,1,0,,
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C3|r4,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C3,4,0,wrong_state_changing,0,0,1,1,1,1.0,1.7142857142857142,15,1,0,,7
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C4|r4,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C4,4,1,correct_endpoint,0,0,1,1,1,1.0,1.7142857142857142,15,1,0,1.4110128361753858,11.25
confirmatory|bfcl|multi_turn_base_0|gemma4_31b|C5|r4,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_0,base,compression,C5,4,1,correct_endpoint,0,0,1,2,2,2.0,2.2857142857142856,19,1,0,,32
confirmatory|bfcl|multi_turn_base_48|gemma4_31b|C0|r3,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_48,base,compression,C0,3,1,correct_endpoint,0,0,1,6,6,1.5,1.5,7,4,0,,
confirmatory|bfcl|multi_turn_base_48|gemma4_31b|C1|r3,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_48,base,compression,C1,3,1,correct_endpoint,0,0,1,6,6,1.5,1.5,7,4,0,,
confirmatory|bfcl|multi_turn_base_48|gemma4_31b|C2|r3,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_48,base,compression,C2,3,1,correct_endpoint,0,0,1,6,6,1.5,1.5,7,4,0,,
confirmatory|bfcl|multi_turn_base_48|gemma4_31b|C3|r3,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_48,base,compression,C3,3,1,correct_endpoint,0,0,1,6,6,1.5,1.5,7,4,0,,7
confirmatory|bfcl|multi_turn_base_48|gemma4_31b|C4|r3,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_48,base,compression,C4,3,1,correct_endpoint,0,0,1,6,6,1.5,1.5,7,4,0,0.9323818499330235,7.666666666666667
confirmatory|bfcl|multi_turn_base_48|gemma4_31b|C5|r3,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_48,base,compression,C5,3,1,correct_endpoint,0,0,1,5,5,1.25,1.25,6,4,0,,32
confirmatory|bfcl|multi_turn_base_48|gemma4_31b|C0|r4,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_48,base,compression,C0,4,1,correct_endpoint,0,0,1,6,6,1.5,1.5,7,4,0,,
confirmatory|bfcl|multi_turn_base_48|gemma4_31b|C1|r4,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_48,base,compression,C1,4,1,correct_endpoint,0,0,1,6,6,1.5,1.5,7,4,0,,
confirmatory|bfcl|multi_turn_base_48|gemma4_31b|C2|r4,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_48,base,compression,C2,4,1,correct_endpoint,0,0,1,6,6,1.5,1.5,7,4,0,,
confirmatory|bfcl|multi_turn_base_48|gemma4_31b|C3|r4,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_48,base,compression,C3,4,1,correct_endpoint,0,0,1,6,6,1.5,1.5,7,4,0,,7
confirmatory|bfcl|multi_turn_base_48|gemma4_31b|C4|r4,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_48,base,compression,C4,4,1,correct_endpoint,0,0,1,6,6,1.5,1.5,7,4,0,0.9323818499330235,7.666666666666667
confirmatory|bfcl|multi_turn_base_48|gemma4_31b|C5|r4,r9v1_clean,bfcl,gemma4_31b,multi_turn_base_48,base,compression,C5,4,1,correct_endpoint,0,0,1,5,5,1.25,1.25,6,4,0,,32
