source_path,relative_path,sha256,size_bytes,modified_time,extension,asset_category,experiment_round,evidence_status,audit_note
/home/xqin5/llmlanguage/.aris/installed-skills-codex.txt,.aris/installed-skills-codex.txt,0cb9b57ef4d48ac492a67b6aad2ea64ccd081cccebb5de6d5e9872fcbf8d9c38,7999,2026-06-28T22:10:40.287577-05:00,.txt,documentation,project_context,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/.aris/installed-skills.txt,.aris/installed-skills.txt,bec00677ae4c719bd26a322cde6baa4615fc013bbaece76dd268447537d73992,6798,2026-06-28T22:20:03.133744-05:00,.txt,documentation,project_context,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/.aris/installed-skills.txt.prev,.aris/installed-skills.txt.prev,e5ca4a37c4f504f48536f5d1741e585bcae776d6d9a535a192ab3a69910c0949,6798,2026-06-28T22:19:34.429838-05:00,.prev,other,project_context,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/.mcp.json,.mcp.json,3664f4468e9c811aa14b04f7b75e58c7e89d19d11b3130d31d45b705e2edb2bd,697,2026-06-28T22:18:02.558137-05:00,.json,json_asset,project_context,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/AGENTS.md,AGENTS.md,44e63dd842ff623a2f0181878654b8d5455b7cec1fa19a216926c274c2a68a4f,992,2026-06-28T22:10:40.387577-05:00,.md,documentation,project_context,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/AI 实验执行 Prompt：R7 - IPMA 交互式过程操纵攻击实验.pdf,AI 实验执行 Prompt：R7 - IPMA 交互式过程操纵攻击实验.pdf,43e4827a98d476750f537641cb5222a885bb179123c81714b46e6c4cfed162e7,754637,2026-07-01T22:21:38.415911-05:00,.pdf,figure_or_pdf,project_context,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/CLAUDE.md,CLAUDE.md,e870653300ebd7ff2cfe98dc88a57b944ba719a7a59c3280f2ec97b1310a9ff8,733,2026-06-28T22:20:03.157744-05:00,.md,documentation,project_context,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/LLMLANGUAGE_轮次进展与试错总结_CN.md,LLMLANGUAGE_轮次进展与试错总结_CN.md,8680020cb66c0b4e705c23a7839747425af84277c70b4798f16651395efa1b95,70840,2026-07-18T16:52:46.017621-05:00,.md,documentation,project_context,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/R8的正式合作方商讨实验,R8的正式合作方商讨实验,4c56eaa87c78079ebb9856ddc7183e1edd413388d0ba86b49888ed8018d41356,19118,2026-07-18T22:18:29.850021-05:00,,other,project_context,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/ccfa执行,ccfa执行,ec84d214775cb5106f352462ff3a81162f5a471e8fd1e760aaa21ca2af01cc0a,20982,2026-07-14T21:42:09.250407-05:00,,other,project_context,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/README.md,interactional_robustness_pilot/README.md,be0f7b68f8db869f083f932fa789feeb488df475d7fc1e018473e06af81b0b57,1528,2026-06-02T21:10:44.585537-05:00,.md,documentation,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/__pycache__/analyze_results.cpython-312.pyc,interactional_robustness_pilot/__pycache__/analyze_results.cpython-312.pyc,4053c0504ab7cfc940b47ec3843780882bb862be05e93fa97c3d6d2ce4ed52a5,18775,2026-06-04T16:56:18.192538-05:00,.pyc,other,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/__pycache__/make_figures.cpython-312.pyc,interactional_robustness_pilot/__pycache__/make_figures.cpython-312.pyc,6437f28a73b0535804862c83fdedbe39b4ee49adda860b8a83e97c46a358f237,1260,2026-06-04T16:56:18.192538-05:00,.pyc,other,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/__pycache__/run_experiment.cpython-312.pyc,interactional_robustness_pilot/__pycache__/run_experiment.cpython-312.pyc,64fd6e50fcf54ffa5c9f94ef22abbb87e19cffc80f64cbbe77162e1c4477b97a,7009,2026-06-04T16:56:18.188538-05:00,.pyc,other,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/__pycache__/run_preflight.cpython-312.pyc,interactional_robustness_pilot/__pycache__/run_preflight.cpython-312.pyc,1fccfe2ba01de2bcd60ab4290e05af0a94936469befa98849c792549c497ec38,13484,2026-06-04T16:56:18.184538-05:00,.pyc,other,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/_rerun4.py,interactional_robustness_pilot/_rerun4.py,f5ffc9e23210eca363c5542e69f1dd22eda38e6c5f2963158eed179644502169,1724,2026-06-03T21:38:02.102198-05:00,.py,code,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/analyze_results.py,interactional_robustness_pilot/analyze_results.py,5f65eabce6955786af0d256bf9a438182629bb3c31f4b1f565921f8e0c5b9aa1,14995,2026-06-02T21:22:02.807895-05:00,.py,evaluator_or_analysis_code,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/config.yaml,interactional_robustness_pilot/config.yaml,db88196e3ed7acbb8135523c03d40454222f144a6a564620414bdb12752328c3,1389,2026-06-02T21:10:44.733536-05:00,.yaml,configuration,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/data/base_tasks.json,interactional_robustness_pilot/data/base_tasks.json,a3fb696d3d40b5ec705aa5ad7f3337bf9140146cc02fc99132b170bd3ccb22be,10911,2026-06-02T21:11:42.853395-05:00,.json,json_asset,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/data/condition_scripts.json,interactional_robustness_pilot/data/condition_scripts.json,834fe608f9cdf4378fbd7093f8c49ac5f3adc3e4e2420105662ca60983a02e79,15643,2026-06-02T21:13:11.081182-05:00,.json,json_asset,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/figures/fig1_heatmap_final_state_policy.png,interactional_robustness_pilot/figures/fig1_heatmap_final_state_policy.png,60e9622c485568a06f9a946f125db47c6db3939d87fc658bc6ee3cc9d0ccf763,174996,2026-06-04T16:22:36.019120-05:00,.png,figure_or_pdf,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/figures/fig2_safety_efficiency.png,interactional_robustness_pilot/figures/fig2_safety_efficiency.png,1f707219623ed87bc21c47eb3f414314cb7a93c0c72a450dd67685a3ae9b84b2,105507,2026-06-04T16:22:36.451119-05:00,.png,figure_or_pdf,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/figures/fig3_confirmation_behavior.png,interactional_robustness_pilot/figures/fig3_confirmation_behavior.png,996695d333e347405d392334dc6ef4e53153ee49a85be5784b9653d1763babcc,52544,2026-06-04T16:22:36.623118-05:00,.png,figure_or_pdf,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/figures/fig4_boundary_abandonment.png,interactional_robustness_pilot/figures/fig4_boundary_abandonment.png,3eebde28b1226e2d1ae14cc6c75c8e46e2d5cb1a680e2de19b5c810ec68f2655,49676,2026-06-04T16:22:36.763118-05:00,.png,figure_or_pdf,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/figures/fig5_tool_sequence_divergence.png,interactional_robustness_pilot/figures/fig5_tool_sequence_divergence.png,892080d95e81f507d7d99a655ef7b996346650c2fba32af9806c4902ca081df0,78754,2026-06-04T16:22:36.943117-05:00,.png,figure_or_pdf,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/make_figures.py,interactional_robustness_pilot/make_figures.py,04a8df6401451667e7f390efd2a22c7664b9575a42c533bde9a97f64d8b53132,705,2026-06-02T21:22:03.107894-05:00,.py,code,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/model_config.yaml,interactional_robustness_pilot/model_config.yaml,a3ac0977b219d9b49d449b7d41d30c7911fe95a7cac185d7cacc2fe4fa903ccf,713,2026-06-04T16:22:25.383155-05:00,.yaml,configuration,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/model_config_full_backup.yaml,interactional_robustness_pilot/model_config_full_backup.yaml,a3ac0977b219d9b49d449b7d41d30c7911fe95a7cac185d7cacc2fe4fa903ccf,713,2026-06-03T21:00:38.669445-05:00,.yaml,configuration,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/model_config_gpt_oss.yaml,interactional_robustness_pilot/model_config_gpt_oss.yaml,37e3f1fb112cc320aa1175f6671944bad08db73993653eb1b81fdb279cd54822,353,2026-06-03T21:00:38.713445-05:00,.yaml,configuration,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/model_config_qwen.yaml,interactional_robustness_pilot/model_config_qwen.yaml,223775e4c8af6e953f18380e3c80bb41665e4dcf57183343ed891509b3a81551,368,2026-06-03T21:00:38.713445-05:00,.yaml,configuration,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/reports/PILOT_REPORT.md,interactional_robustness_pilot/reports/PILOT_REPORT.md,2c418cade2f31e5870fc3980a85eb5bfb134409baef7666252758ed330e77960,12262,2026-06-04T16:26:53.134281-05:00,.md,report_or_audit,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/reports/PILOT_REPORT_zh.md,interactional_robustness_pilot/reports/PILOT_REPORT_zh.md,b57e0af5f3a18174eefd663c01745563d335e8f402a5c6e28aaf5cac69765bd9,26774,2026-06-04T20:53:19.215503-05:00,.md,report_or_audit,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/reports/PREFLIGHT_REPORT.md,interactional_robustness_pilot/reports/PREFLIGHT_REPORT.md,7a929840741aeb7bb40671a94e5118f1b5a0e5eb65f26f65c8a5906550e22d02,427,2026-06-02T22:03:29.841826-05:00,.md,report_or_audit,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/reports/RUN_BLOCKED_REPORT.md,interactional_robustness_pilot/reports/RUN_BLOCKED_REPORT.md,774d2321e4770c2b303b56c44a3b45e2fe17ff71168ff15263bd866b61a8b333,172,2026-06-02T21:24:20.667562-05:00,.md,report_or_audit,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/reports/invariant_checks.csv,interactional_robustness_pilot/reports/invariant_checks.csv,b41384e09d42cb2d62e2b19c31eb40ddcea6c2efca3ff24f71a39e2f40966b75,6573,2026-06-03T21:31:00.079560-05:00,.csv,result_or_registry_table,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/reports/manipulation_checks.csv,interactional_robustness_pilot/reports/manipulation_checks.csv,43d73e670431bd1813a7fac7b18d03980d661ad3447ecdc7824d85d4e214a86e,2381,2026-06-03T21:31:00.079560-05:00,.csv,result_or_registry_table,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/reports/package_versions.json,interactional_robustness_pilot/reports/package_versions.json,b29c58f5e6cee4de0426711af2af14b3fe27519fd76934a4d0839ee8ad14e560,91,2026-06-02T22:03:16.573858-05:00,.json,json_asset,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/reports/run_manifest.json,interactional_robustness_pilot/reports/run_manifest.json,31bb4f16b671dace4d6ed5e28cf16f262359958758d9a69d87683eb498558fa4,405,2026-06-03T21:31:00.091560-05:00,.json,json_asset,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/requirements.txt,interactional_robustness_pilot/requirements.txt,5c4c639f8ae94dac038e3325372bf7c50c63ebe7c3aea77a16fa5fd61f3e8637,55,2026-06-02T21:24:53.935481-05:00,.txt,documentation,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results/conversation_logs.jsonl,interactional_robustness_pilot/results/conversation_logs.jsonl,83be434df7714b76c8bc730baf3652c14202c32d60e75e499062fe94f03d5a74,1624531,2026-06-04T16:22:13.359195-05:00,.jsonl,result_json,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results/final_environment_states.jsonl,interactional_robustness_pilot/results/final_environment_states.jsonl,3549862afb244ce3c87af07f22fa8c210d7a0522d468c03d0ac36f5f130f8aee,322876,2026-06-04T16:22:13.359195-05:00,.jsonl,result_json,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results/noise_floor.csv,interactional_robustness_pilot/results/noise_floor.csv,37f029fd0cd1a628da1b50e86cc60d1c684d3cd79fa25a3c0741cf6d46715953,2130,2026-06-04T16:22:30.643138-05:00,.csv,result_or_registry_table,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results/paired_deltas_vs_neutral.csv,interactional_robustness_pilot/results/paired_deltas_vs_neutral.csv,090ab48c7606d3c6a371bcd880112126c544d9bdcc71d1804060e320d8fb1b0d,51750,2026-06-04T16:22:34.435126-05:00,.csv,result_or_registry_table,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results/practical_failures.csv,interactional_robustness_pilot/results/practical_failures.csv,658ca3ab4ebc85e56d0cb97a7b00bdec082034aa86da8291c07760a1e7fa6ab1,8112,2026-06-04T16:22:34.771124-05:00,.csv,result_or_registry_table,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results/preflight_results.csv,interactional_robustness_pilot/results/preflight_results.csv,5e58553914baed195bc2df538f5505c2c6eed40122e7dae68170505cfbad5cc4,1355,2026-06-02T22:03:29.841826-05:00,.csv,result_or_registry_table,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results/run_metrics.csv,interactional_robustness_pilot/results/run_metrics.csv,8039cca53d56077bbf79e62672d866471b3281d8fd85beaefbf7774b39f77d75,287633,2026-06-04T16:22:26.823150-05:00,.csv,result_or_registry_table,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results/run_order_temp_0.0.json,interactional_robustness_pilot/results/run_order_temp_0.0.json,678d2f7412dd062e37afa5b228ff049283897d0501205157759c43819fb9a787,17315,2026-06-03T21:17:08.222247-05:00,.json,result_json,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results/run_order_temp_0.2.json,interactional_robustness_pilot/results/run_order_temp_0.2.json,c1d9467551975c9b6a8945b72c92b10361c226e6a0144b29cbdd783843a6c355,8659,2026-06-03T21:31:00.079560-05:00,.json,result_json,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results/summary_by_model_condition.csv,interactional_robustness_pilot/results/summary_by_model_condition.csv,9fad581ce9f625ce70e015fb160a5d97a815e997a7fe59c903470b7b866b34cd,55232,2026-06-04T16:22:30.627138-05:00,.csv,result_or_registry_table,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results/tool_logs.jsonl,interactional_robustness_pilot/results/tool_logs.jsonl,146ac4c2329204587c95481fdc8be34f1353e7d03d3b5b01b83cd3df85185cb8,611014,2026-06-04T16:22:13.355194-05:00,.jsonl,result_json,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results_gpt_oss/conversation_logs.jsonl,interactional_robustness_pilot/results_gpt_oss/conversation_logs.jsonl,6180d9597f3dfe5cedadef4d826f43bb946b2a6d720ac323442105c6d94f5621,785916,2026-06-03T21:14:19.666791-05:00,.jsonl,result_json,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results_gpt_oss/final_environment_states.jsonl,interactional_robustness_pilot/results_gpt_oss/final_environment_states.jsonl,195e545743c2c2df08ebae97de7660f964851895cb943b179e7256cc8f393495,161950,2026-06-03T21:14:19.666791-05:00,.jsonl,result_json,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results_gpt_oss/preflight_results.csv,interactional_robustness_pilot/results_gpt_oss/preflight_results.csv,5e58553914baed195bc2df538f5505c2c6eed40122e7dae68170505cfbad5cc4,1355,2026-06-03T21:14:19.662791-05:00,.csv,result_or_registry_table,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results_gpt_oss/run_metrics.csv,interactional_robustness_pilot/results_gpt_oss/run_metrics.csv,1a145283d4233991214d2f00c283c11287f7d90f468efbd4bfac85b201bc4a93,152669,2026-06-03T21:14:19.666791-05:00,.csv,result_or_registry_table,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results_gpt_oss/run_order_temp_0.0.json,interactional_robustness_pilot/results_gpt_oss/run_order_temp_0.0.json,678d2f7412dd062e37afa5b228ff049283897d0501205157759c43819fb9a787,17315,2026-06-03T21:14:19.662791-05:00,.json,result_json,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results_gpt_oss/run_order_temp_0.2.json,interactional_robustness_pilot/results_gpt_oss/run_order_temp_0.2.json,c1d9467551975c9b6a8945b72c92b10361c226e6a0144b29cbdd783843a6c355,8659,2026-06-03T21:14:19.666791-05:00,.json,result_json,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results_gpt_oss/tool_logs.jsonl,interactional_robustness_pilot/results_gpt_oss/tool_logs.jsonl,f1b50eb93dc3753ab46e1bc893d9d411dadd594cbc7ebcb52f2dd801eccf3ff2,276406,2026-06-03T21:14:19.662791-05:00,.jsonl,result_json,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results_qwen/conversation_logs.jsonl,interactional_robustness_pilot/results_qwen/conversation_logs.jsonl,659803877c25622b2baaa90dd61eeb82a43bf15e6c846cb7978421f953de269f,838615,2026-06-03T21:36:25.490510-05:00,.jsonl,result_json,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results_qwen/final_environment_states.jsonl,interactional_robustness_pilot/results_qwen/final_environment_states.jsonl,120268561389222f8218e2bd39f4f5c4197e6e459be84dc6e8e6212cb57ed405,160926,2026-06-03T21:36:25.490510-05:00,.jsonl,result_json,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results_qwen/preflight_results.csv,interactional_robustness_pilot/results_qwen/preflight_results.csv,5e58553914baed195bc2df538f5505c2c6eed40122e7dae68170505cfbad5cc4,1355,2026-06-03T21:36:25.486510-05:00,.csv,result_or_registry_table,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results_qwen/run_metrics.csv,interactional_robustness_pilot/results_qwen/run_metrics.csv,67aee168b72d9dc6764157af58a9bf9d18f913d57110b69a5e7d446eb74db545,138939,2026-06-03T21:36:25.490510-05:00,.csv,result_or_registry_table,pilot,CONTEXTUAL,Project context or documentation.
/home/xqin5/llmlanguage/interactional_robustness_pilot/results_qwen/run_order_temp_0.0.json,interactional_robustness_pilot/results_qwen/run_order_temp_0.0.json,678d2f7412dd062e37afa5b228ff049283897d0501205157759c43819fb9a787,17315,2026-06-03T21:36:25.486510-05:00,.json,result_json,pilot,CONTEXTUAL,Project context or documentation.
