episode_id,batch,benchmark,model,task_id,task_type,family,condition,repeat,success,outcome_class,infra_failure,total_tool_calls,verification_depth,reads_before_first_mutation,first_state_changing_step,clarification_turns,no_state_change,verification_effort,total_verification_calls,duplicate_reads,alternative_evidence_calls,min_prereq_verification_calls,min_viable_total_verification_calls,n_interventions,mean_selector_score,mean_intervention_tokens
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C0|r0,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C0,0,0,wrong_state_changing,0,11,0.0,0,0,1,0,2.3333333333333335,7,2,3,1,3,0,,
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C1|r0,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C1,0,0,wrong_state_changing,0,16,0.0,0,0,1,0,4.0,12,6,4,1,3,0,,
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C2|r0,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C2,0,0,wrong_state_changing,0,11,0.0,0,0,1,0,2.3333333333333335,7,2,3,1,3,0,,
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C3|r0,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C3,0,0,wrong_state_changing,0,15,0.0,0,0,1,0,4.0,12,5,5,1,3,4,,7
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C4|r0,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C4,0,0,wrong_state_changing,0,16,0.0,0,0,1,0,4.333333333333333,13,6,5,1,3,4,0.8045,8.25
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C5|r0,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C5,0,0,infrastructure_failure,1,1,0.0,0,0,0,0,0.0,0,0,0,1,3,1,,32
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C0|r1,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C0,1,0,wrong_state_changing,0,11,0.0,0,0,1,0,2.3333333333333335,7,2,3,1,3,0,,
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C1|r1,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C1,1,0,wrong_state_changing,0,16,0.0,0,0,1,0,4.0,12,6,4,1,3,0,,
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C2|r1,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C2,1,0,wrong_state_changing,0,11,0.0,0,0,1,0,2.3333333333333335,7,2,3,1,3,0,,
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C3|r1,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C3,1,0,wrong_state_changing,0,15,0.0,0,0,1,0,4.0,12,5,5,1,3,4,,7
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C4|r1,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C4,1,0,wrong_state_changing,0,16,0.0,0,0,1,0,4.333333333333333,13,6,5,1,3,4,0.8045,8.25
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C5|r1,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C5,1,0,infrastructure_failure,1,1,0.0,0,0,0,0,0.0,0,0,0,1,3,1,,32
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C0|r2,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C0,2,0,wrong_state_changing,0,11,0.0,0,0,1,0,2.3333333333333335,7,2,3,1,3,0,,
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C1|r2,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C1,2,0,wrong_state_changing,0,16,0.0,0,0,1,0,4.0,12,6,4,1,3,0,,
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C2|r2,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C2,2,0,wrong_state_changing,0,11,0.0,0,0,1,0,2.3333333333333335,7,2,3,1,3,0,,
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C3|r2,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C3,2,0,wrong_state_changing,0,15,0.0,0,0,1,0,4.0,12,5,5,1,3,4,,7
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C4|r2,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C4,2,0,wrong_state_changing,0,16,0.0,0,0,1,0,4.333333333333333,13,6,5,1,3,4,0.8045,8.25
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C5|r2,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_36,miss_param,compression,C5,2,0,infrastructure_failure,1,1,0.0,0,0,0,0,0.0,0,0,0,1,3,1,,32
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C0|r0,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C0,0,1,correct_endpoint,0,8,1.0,2,2,0,0,1.5,6,0,5,2,4,0,,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C1|r0,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C1,0,1,correct_endpoint,0,8,1.0,2,2,1,0,1.5,6,0,5,2,4,0,,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C2|r0,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C2,0,1,correct_endpoint,0,9,1.5,3,3,1,0,1.75,7,1,5,2,4,0,,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C3|r0,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C3,0,1,correct_endpoint,0,7,1.0,2,2,1,0,1.25,5,0,5,2,4,5,,7
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C4|r0,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C4,0,1,correct_endpoint,0,9,1.5,3,3,0,0,1.75,7,1,5,2,4,4,4.8711,11.25
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C5|r0,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C5,0,0,no_state_change,0,5,21.0,5,,3,1,1.25,5,0,5,2,4,5,,32
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C0|r1,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C0,1,1,correct_endpoint,0,8,1.0,2,2,0,0,1.5,6,0,5,2,4,0,,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C1|r1,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C1,1,1,correct_endpoint,0,8,1.0,2,2,1,0,1.5,6,0,5,2,4,0,,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C2|r1,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C2,1,1,correct_endpoint,0,9,1.5,3,3,1,0,1.75,7,1,5,2,4,0,,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C3|r1,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C3,1,1,correct_endpoint,0,7,1.0,2,2,1,0,1.25,5,0,5,2,4,5,,7
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C4|r1,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C4,1,1,correct_endpoint,0,9,1.5,3,3,0,0,1.75,7,1,5,2,4,4,4.8711,11.25
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C5|r1,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C5,1,0,no_state_change,0,5,21.0,5,,3,1,1.25,5,0,5,2,4,5,,32
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C0|r2,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C0,2,1,correct_endpoint,0,8,1.0,2,2,0,0,1.5,6,0,5,2,4,0,,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C1|r2,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C1,2,1,correct_endpoint,0,8,1.0,2,2,1,0,1.5,6,0,5,2,4,0,,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C2|r2,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C2,2,1,correct_endpoint,0,9,1.5,3,3,1,0,1.75,7,1,5,2,4,0,,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C3|r2,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C3,2,1,correct_endpoint,0,7,1.0,2,2,1,0,1.25,5,0,5,2,4,5,,7
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C4|r2,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C4,2,1,correct_endpoint,0,9,1.5,3,3,0,0,1.75,7,1,5,2,4,4,4.8711,11.25
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C5|r2,r9v2,bfcl,qwen25_72b,multi_turn_base_165,base,compression,C5,2,0,no_state_change,0,5,21.0,5,,3,1,1.25,5,0,5,2,4,5,,32
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C0|r0,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_2,miss_param,compression,C0,0,0,budget_exhausted,0,77,1.0,1,1,5,0,16.25,65,45,9,1,4,0,,
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C1|r0,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_2,miss_param,compression,C1,0,0,wrong_state_changing,0,23,1.0,1,1,6,0,4.25,17,9,6,1,4,0,,
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C2|r0,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_2,miss_param,compression,C2,0,0,wrong_state_changing,0,23,1.0,1,1,5,0,4.0,16,5,6,1,4,0,,
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C3|r0,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_2,miss_param,compression,C3,0,0,wrong_state_changing,0,16,1.0,1,1,6,0,2.5,10,3,6,1,4,6,,7
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C4|r0,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_2,miss_param,compression,C4,0,0,wrong_state_changing,0,32,1.0,1,1,2,0,5.75,23,13,5,1,4,4,0.8045,8.25
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C5|r0,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_2,miss_param,compression,C5,0,0,budget_exhausted,0,94,1.0,1,1,2,0,20.75,83,66,9,1,4,6,,32
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C0|r1,r9v2,bfcl,qwen25_72b,multi_turn_miss_param_2,miss_param,compression,C0,1,0,wrong_state_changing,0,41,1.0,1,1,6,0,8.0,32,14,9,1,4,0,,
