run_id,arm,band,task_id,domain,model,template_suffix,replicate,n_tool_events,tool_sequence,n_mutation_events,n_confirmation_events,any_tool_call,final_response_len,total_tokens,duration_s
gpt_oss_120b__r6_retail_01_order_options__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_retail_01_order_options,retail,gpt_oss_120b,01,0,0,,0,0,0,463,,2.16
gpt_oss_120b__r6_retail_01_order_options__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_retail_01_order_options,retail,gpt_oss_120b,02,1,0,,0,0,0,294,,1.33
gpt_oss_120b__r6_retail_01_order_options__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_retail_01_order_options,retail,gpt_oss_120b,03,2,0,,0,0,0,425,,1.46
gpt_oss_120b__r6_retail_01_order_options__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_retail_01_order_options,retail,gpt_oss_120b,04,3,0,,0,0,0,410,,1.39
gpt_oss_120b__r6_retail_01_order_options__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_retail_01_order_options,retail,gpt_oss_120b,05,4,0,,0,0,0,226,,1.51
gpt_oss_120b__r6_retail_02_refund_estimate__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_retail_02_refund_estimate,retail,gpt_oss_120b,01,0,0,,0,0,0,506,,1.66
gpt_oss_120b__r6_retail_02_refund_estimate__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_retail_02_refund_estimate,retail,gpt_oss_120b,02,1,0,,0,0,0,665,,1.94
gpt_oss_120b__r6_retail_02_refund_estimate__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_retail_02_refund_estimate,retail,gpt_oss_120b,03,2,0,,0,0,0,566,,2.32
gpt_oss_120b__r6_retail_02_refund_estimate__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_retail_02_refund_estimate,retail,gpt_oss_120b,04,3,0,,0,0,0,638,,1.9
gpt_oss_120b__r6_retail_02_refund_estimate__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_retail_02_refund_estimate,retail,gpt_oss_120b,05,4,0,,0,0,0,331,,1.15
gpt_oss_120b__r6_calendar_01_find_slots__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_calendar_01_find_slots,calendar,gpt_oss_120b,01,0,2,calendar_get_availability|calendar_list_events,0,0,1,313,,3.36
gpt_oss_120b__r6_calendar_01_find_slots__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_calendar_01_find_slots,calendar,gpt_oss_120b,02,1,2,calendar_get_availability|calendar_list_events,0,0,1,547,,4.54
gpt_oss_120b__r6_calendar_01_find_slots__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_calendar_01_find_slots,calendar,gpt_oss_120b,03,2,2,calendar_get_availability|calendar_list_events,0,0,1,376,,5.43
gpt_oss_120b__r6_calendar_01_find_slots__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_calendar_01_find_slots,calendar,gpt_oss_120b,04,3,2,calendar_get_availability|calendar_list_events,0,0,1,284,,4.69
gpt_oss_120b__r6_calendar_01_find_slots__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_calendar_01_find_slots,calendar,gpt_oss_120b,05,4,4,calendar_get_availability|calendar_list_events|calendar_get_availability|calendar_list_events,0,0,1,454,,10.17
gpt_oss_120b__r6_calendar_02_event_summary__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_calendar_02_event_summary,calendar,gpt_oss_120b,01,0,0,,0,0,0,322,,1.29
gpt_oss_120b__r6_calendar_02_event_summary__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_calendar_02_event_summary,calendar,gpt_oss_120b,02,1,0,,0,0,0,221,,1.42
gpt_oss_120b__r6_calendar_02_event_summary__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_calendar_02_event_summary,calendar,gpt_oss_120b,03,2,0,,0,0,0,220,,1.12
gpt_oss_120b__r6_calendar_02_event_summary__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_calendar_02_event_summary,calendar,gpt_oss_120b,04,3,0,,0,0,0,184,,0.96
gpt_oss_120b__r6_calendar_02_event_summary__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_calendar_02_event_summary,calendar,gpt_oss_120b,05,4,0,,0,0,0,181,,0.89
gpt_oss_120b__r6_email_01_search_summary__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_email_01_search_summary,email,gpt_oss_120b,01,0,3,email_search|email_get_thread|email_search,0,0,1,486,,5.89
gpt_oss_120b__r6_email_01_search_summary__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_email_01_search_summary,email,gpt_oss_120b,02,1,3,email_search|email_get_thread|email_search,0,0,1,494,,6.5
gpt_oss_120b__r6_email_01_search_summary__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_email_01_search_summary,email,gpt_oss_120b,03,2,3,email_search|email_get_thread|email_search,0,0,1,542,,6.72
gpt_oss_120b__r6_email_01_search_summary__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_email_01_search_summary,email,gpt_oss_120b,04,3,3,email_search|email_get_thread|email_get_thread,0,0,1,376,,6.46
gpt_oss_120b__r6_email_01_search_summary__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_email_01_search_summary,email,gpt_oss_120b,05,4,2,email_search|email_get_thread,0,0,1,498,,4.3
gpt_oss_120b__r6_travel_01_flight_status__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_travel_01_flight_status,airline,gpt_oss_120b,01,0,0,,0,0,0,399,,1.15
gpt_oss_120b__r6_travel_01_flight_status__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_travel_01_flight_status,airline,gpt_oss_120b,02,1,0,,0,0,0,284,,1.42
gpt_oss_120b__r6_travel_01_flight_status__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_travel_01_flight_status,airline,gpt_oss_120b,03,2,0,,0,0,0,507,,1.76
gpt_oss_120b__r6_travel_01_flight_status__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_travel_01_flight_status,airline,gpt_oss_120b,04,3,0,,0,0,0,474,,2.65
gpt_oss_120b__r6_travel_01_flight_status__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_travel_01_flight_status,airline,gpt_oss_120b,05,4,1,get_reservation_details,0,0,1,316,,2.78
gpt_oss_120b__r6_hotel_02_amenity_lookup__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_hotel_02_amenity_lookup,hotel,gpt_oss_120b,01,0,0,,0,0,0,266,,1.48
gpt_oss_120b__r6_hotel_02_amenity_lookup__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_hotel_02_amenity_lookup,hotel,gpt_oss_120b,02,1,0,,0,0,0,359,,1.64
gpt_oss_120b__r6_hotel_02_amenity_lookup__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_hotel_02_amenity_lookup,hotel,gpt_oss_120b,03,2,0,,0,0,0,379,,1.7
gpt_oss_120b__r6_hotel_02_amenity_lookup__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_hotel_02_amenity_lookup,hotel,gpt_oss_120b,04,3,0,,0,0,0,386,,1.73
gpt_oss_120b__r6_hotel_02_amenity_lookup__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_hotel_02_amenity_lookup,hotel,gpt_oss_120b,05,4,0,,0,0,0,316,,1.53
gpt_oss_120b__r6_file_01_locate_checksum__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_file_01_locate_checksum,file,gpt_oss_120b,01,0,7,file_search|file_get_metadata|file_checksum|file_search|file_get_metadata|file_checksum|file_search,0,0,1,514,,12.37
gpt_oss_120b__r6_file_01_locate_checksum__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_file_01_locate_checksum,file,gpt_oss_120b,02,1,0,,0,0,0,211,,2.8
gpt_oss_120b__r6_file_01_locate_checksum__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_file_01_locate_checksum,file,gpt_oss_120b,03,2,8,file_search|file_search|file_search|file_get_metadata|file_search|file_search|file_checksum|file_checksum,0,0,1,302,,11.74
gpt_oss_120b__r6_file_01_locate_checksum__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_file_01_locate_checksum,file,gpt_oss_120b,04,3,0,,0,0,0,251,,1.38
gpt_oss_120b__r6_file_01_locate_checksum__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_file_01_locate_checksum,file,gpt_oss_120b,05,4,3,file_search|file_get_metadata|file_checksum,0,0,1,137,,3.57
gemma4_31b__r6_retail_01_order_options__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_retail_01_order_options,retail,gemma4_31b,01,0,0,,0,0,0,162,,1.61
gemma4_31b__r6_retail_01_order_options__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_retail_01_order_options,retail,gemma4_31b,02,1,0,,0,0,0,199,,1.97
gemma4_31b__r6_retail_01_order_options__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_retail_01_order_options,retail,gemma4_31b,03,2,0,,0,0,0,191,,1.88
gemma4_31b__r6_retail_01_order_options__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_retail_01_order_options,retail,gemma4_31b,04,3,0,,0,0,0,153,,1.63
gemma4_31b__r6_retail_01_order_options__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_retail_01_order_options,retail,gemma4_31b,05,4,0,,0,0,0,287,,2.98
gemma4_31b__r6_retail_02_refund_estimate__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_retail_02_refund_estimate,retail,gemma4_31b,01,0,0,,0,0,0,196,,1.89
gemma4_31b__r6_retail_02_refund_estimate__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_retail_02_refund_estimate,retail,gemma4_31b,02,1,0,,0,0,0,340,,3.27
gemma4_31b__r6_retail_02_refund_estimate__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_retail_02_refund_estimate,retail,gemma4_31b,03,2,0,,0,0,0,446,,4.58
gemma4_31b__r6_retail_02_refund_estimate__P2__tpl04__rep3__r7d,P2,FAMILY_AE,r6_retail_02_refund_estimate,retail,gemma4_31b,04,3,0,,0,0,0,176,,1.68
gemma4_31b__r6_retail_02_refund_estimate__P2__tpl05__rep4__r7d,P2,FAMILY_AE,r6_retail_02_refund_estimate,retail,gemma4_31b,05,4,0,,0,0,0,348,,3.45
gemma4_31b__r6_calendar_01_find_slots__P2__tpl01__rep0__r7d,P2,FAMILY_AE,r6_calendar_01_find_slots,calendar,gemma4_31b,01,0,2,calendar_get_availability|calendar_list_events,0,0,1,255,,4.86
gemma4_31b__r6_calendar_01_find_slots__P2__tpl02__rep1__r7d,P2,FAMILY_AE,r6_calendar_01_find_slots,calendar,gemma4_31b,02,1,2,calendar_get_availability|calendar_list_events,0,0,1,255,,4.98
gemma4_31b__r6_calendar_01_find_slots__P2__tpl03__rep2__r7d,P2,FAMILY_AE,r6_calendar_01_find_slots,calendar,gemma4_31b,03,2,2,calendar_get_availability|calendar_list_events,0,0,1,255,,4.98
