file_id,relative_path,file_name,extension,size,modified_time,experiment_family,likely_role,contains_raw_episode_data,contains_summary_statistics,contains_analysis_code,contains_figures,contains_attack_results,notes
1,CLAUDE.md,CLAUDE.md,.md,733,2026-06-28,,report/doc,0,0,0,0,0,
2,AI 实验执行 Prompt：R7 - IPMA 交互式过程操纵攻击实验.pdf,AI 实验执行 Prompt：R7 - IPMA 交互式过程操纵攻击实验.pdf,.pdf,754637,2026-07-01,,figure,0,0,0,1,0,
3,proposal_tact(1).md,proposal_tact(1).md,.md,33039,2026-06-02,,report/doc,0,0,0,0,0,
4,skill.md,skill.md,.md,384,2026-06-02,,report/doc,0,0,0,0,0,
5,LLMLANGUAGE_轮次进展与试错总结_CN.md,LLMLANGUAGE_轮次进展与试错总结_CN.md,.md,70840,2026-07-18,,report/doc,0,0,0,0,0,
6,.mcp.json,.mcp.json,.json,697,2026-06-28,,config/frozen/manifest,0,0,0,0,0,
7,AGENTS.md,AGENTS.md,.md,992,2026-06-28,,report/doc,0,0,0,0,0,
8,POST_MISROUTE_RESEARCH_ARCHAEOLOGY_DEEP_DIVE_CN.md,POST_MISROUTE_RESEARCH_ARCHAEOLOGY_DEEP_DIVE_CN.md,.md,35643,2026-08-30,MISROUTE,report/doc,0,0,0,0,0,
9,POST_MISROUTE_FINAL_RESEARCH_REPORT_CN.md,POST_MISROUTE_FINAL_RESEARCH_REPORT_CN.md,.md,53583,2026-09-01,MISROUTE,report/doc,0,0,0,0,0,
10,POST_MISROUTE_SCIENTIFIC_OPPORTUNITY_MAP_CN_V3.md,POST_MISROUTE_SCIENTIFIC_OPPORTUNITY_MAP_CN_V3.md,.md,41079,2026-08-30,MISROUTE,report/doc,0,0,0,0,0,
11,POST_MISROUTE_SCIENTIFIC_OPPORTUNITY_MAP_CN.md,POST_MISROUTE_SCIENTIFIC_OPPORTUNITY_MAP_CN.md,.md,38007,2026-08-30,MISROUTE,report/doc,0,0,0,0,0,
