block_id,task_uid,tau2_task_id,domain,stratum,model,replicate,branch,prefix_len,junction,n_tool_events,n_reads,n_unique_reads,n_duplicate_reads,n_mutations,n_tool_errors,n_user_turns,n_agent_messages,first_mutation_step,evidence_before_first_mutation,tool_sequence,endpoint_reward,suffix_len_turns,error
retail_T2_60__gemma4_31b__rep0,retail_T2_60,60,retail,T2,gemma4_31b,0,N0,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T2_60__gemma4_31b__rep0,retail_T2_60,60,retail,T2,gemma4_31b,0,N1,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T2_60__gemma4_31b__rep0,retail_T2_60,60,retail,T2,gemma4_31b,0,S,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T2_60__gemma4_31b__rep0,retail_T2_60,60,retail,T2,gemma4_31b,0,A,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T2_60__gemma4_31b__rep0,retail_T2_60,60,retail,T2,gemma4_31b,0,P,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T2_60__gemma4_31b__rep1,retail_T2_60,60,retail,T2,gemma4_31b,1,N0,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T2_60__gemma4_31b__rep1,retail_T2_60,60,retail,T2,gemma4_31b,1,N1,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T2_60__gemma4_31b__rep1,retail_T2_60,60,retail,T2,gemma4_31b,1,S,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T2_60__gemma4_31b__rep1,retail_T2_60,60,retail,T2,gemma4_31b,1,A,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T2_60__gemma4_31b__rep1,retail_T2_60,60,retail,T2,gemma4_31b,1,P,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T1_21__gemma4_31b__rep0,retail_T1_21,21,retail,T1,gemma4_31b,0,N0,2,agent_first_user_message,7,7,6,1,0,0,3,10,,,find_user_id_by_name_zip get_user_details get_order_details get_order_details get_order_details get_item_details get_order_details,,20,
retail_T1_21__gemma4_31b__rep0,retail_T1_21,21,retail,T1,gemma4_31b,0,N1,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T1_21__gemma4_31b__rep0,retail_T1_21,21,retail,T1,gemma4_31b,0,S,2,agent_first_user_message,9,9,8,1,0,0,3,12,,,find_user_id_by_name_zip get_user_details get_order_details get_order_details get_order_details get_item_details get_item_details get_order_details calculate,,24,
retail_T1_21__gemma4_31b__rep0,retail_T1_21,21,retail,T1,gemma4_31b,0,A,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T1_21__gemma4_31b__rep0,retail_T1_21,21,retail,T1,gemma4_31b,0,P,2,agent_first_user_message,11,10,10,0,0,1,3,14,,,find_user_id_by_name_zip get_user_details get_order_details get_order_details get_order_details get_item_details get_item_details get_product_details get_item_details calculate calculate,,28,
retail_T1_21__gemma4_31b__rep1,retail_T1_21,21,retail,T1,gemma4_31b,1,N0,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T1_21__gemma4_31b__rep1,retail_T1_21,21,retail,T1,gemma4_31b,1,N1,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T1_21__gemma4_31b__rep1,retail_T1_21,21,retail,T1,gemma4_31b,1,S,2,agent_first_user_message,9,9,8,1,0,0,3,12,,,find_user_id_by_name_zip get_user_details get_order_details get_order_details get_order_details get_item_details get_item_details get_order_details calculate,,24,
retail_T1_21__gemma4_31b__rep1,retail_T1_21,21,retail,T1,gemma4_31b,1,A,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T1_21__gemma4_31b__rep1,retail_T1_21,21,retail,T1,gemma4_31b,1,P,2,agent_first_user_message,9,8,8,0,0,1,3,12,,,find_user_id_by_name_zip get_user_details get_order_details get_order_details get_order_details get_item_details get_item_details get_product_details get_item_details,,24,
airline_T2_8__gemma4_31b__rep0,airline_T2_8,8,airline,T2,gemma4_31b,0,N0,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gemma4_31b__rep0,airline_T2_8,8,airline,T2,gemma4_31b,0,N1,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gemma4_31b__rep0,airline_T2_8,8,airline,T2,gemma4_31b,0,S,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gemma4_31b__rep0,airline_T2_8,8,airline,T2,gemma4_31b,0,A,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gemma4_31b__rep0,airline_T2_8,8,airline,T2,gemma4_31b,0,P,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gemma4_31b__rep1,airline_T2_8,8,airline,T2,gemma4_31b,1,N0,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gemma4_31b__rep1,airline_T2_8,8,airline,T2,gemma4_31b,1,N1,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gemma4_31b__rep1,airline_T2_8,8,airline,T2,gemma4_31b,1,S,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gemma4_31b__rep1,airline_T2_8,8,airline,T2,gemma4_31b,1,A,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gemma4_31b__rep1,airline_T2_8,8,airline,T2,gemma4_31b,1,P,2,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__gemma4_31b__rep0,airline_T1_41,41,airline,T1,gemma4_31b,0,N0,18,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__gemma4_31b__rep0,airline_T1_41,41,airline,T1,gemma4_31b,0,N1,18,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__gemma4_31b__rep0,airline_T1_41,41,airline,T1,gemma4_31b,0,S,18,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__gemma4_31b__rep0,airline_T1_41,41,airline,T1,gemma4_31b,0,A,18,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__gemma4_31b__rep0,airline_T1_41,41,airline,T1,gemma4_31b,0,P,18,agent_first_user_message,8,8,8,0,0,0,3,5,,,get_user_details get_reservation_details get_reservation_details get_reservation_details get_reservation_details get_reservation_details get_reservation_details get_reservation_details,,16,
airline_T1_41__gemma4_31b__rep1,airline_T1_41,41,airline,T1,gemma4_31b,1,N0,18,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__gemma4_31b__rep1,airline_T1_41,41,airline,T1,gemma4_31b,1,N1,18,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__gemma4_31b__rep1,airline_T1_41,41,airline,T1,gemma4_31b,1,S,18,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__gemma4_31b__rep1,airline_T1_41,41,airline,T1,gemma4_31b,1,A,18,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__gemma4_31b__rep1,airline_T1_41,41,airline,T1,gemma4_31b,1,P,18,agent_first_user_message,8,8,8,0,0,0,3,5,,,get_user_details get_reservation_details get_reservation_details get_reservation_details get_reservation_details get_reservation_details get_reservation_details get_reservation_details,,16,
