claim_id,paper_claim,evidence_files,source_paths,file_sha256,denominator,models,domains,conditions,evaluator,statistical_test,effect_size,confidence_interval,corrected_p_value,supporting_evidence,counterevidence,limitations,final_status,main_text_eligible,appendix_or_exclude
C01,R6 形成完整的 3×30×8×3=2160 条 live-model trace 矩阵。,r6_integrity_status.csv; per_run_metrics.csv; 2160 raw traces,/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626,bd5e7acc4c2a5b5d0e99a2381669dba762097e9756679dda3060794c2cb819ea,2160/2160 traces,"gemma4_31b, gpt_oss_120b, mistral_small_3p2",10 recorded domains,8,schema/integrity checks,deterministic count + duplicate/schema audit,,,,expected=2160; duplicates=0; initial hash mismatches=0,,Completion/integrity does not validate evaluator semantics.,SUPPORTED,YES,Main/Table 1
C02,R6 操作覆盖 praise、strong insult 与 escalating abuse。,r6_social_style_templates.yaml,/home/xqin5/llmlanguage/ir_mstu_stage2/data/r6/r6_social_style_templates.yaml,1f3066d58dc5101b4935a6d9684dbacc34874b3fdc83b4496880792de4d5515e,8 conditions × 3 frozen wrappers,,,neutral/praise_trust/process-frustration/escalating process complaint + pressure variants,direct text inspection,,,,,Frozen wrappers exist and are turn-count matched.,insult_strong_clean says the support process is frustrating/annoying; it does not directly insult the agent.,Condition IDs overstate interpersonal hostility; authorization/continuation pressure are semantically active.,PARTIALLY_SUPPORTED,YES_WITH_RENAMING,Main method caveat; original labels appendix only
C03,R6 paired comparisons preserve recorded initial external state.,2160 R6 traces,/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/traces,,1890,3,10,7 treatment-reference contrasts,initial_environment_state.state_hash,deterministic equality,0 mismatches,,,All audited contrast pairs have equal recorded initial-state hash.,,Tool-schema/system-policy hashes are not present in every R6 trace.,SUPPORTED,YES,Main design
C04,R6 的 clean social-style 条件在 tau2 子集上改变工具名序列，且高于 neutral-neutral 漂移。,R6 tau2 traces; offline PROCESS_ROBUSTNESS.csv,/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/traces,bd5e7acc4c2a5b5d0e99a2381669dba762097e9756679dda3060794c2cb819ea,90 pairs/condition; 10 task clusters; 90 neutral-neutral placebo pairs,3,"retail, airline",praise_trust/process-frustration/escalating process complaint vs neutral,normalized Levenshtein distance over tool names,post-hoc task-cluster bootstrap + task sign permutation + BH over 7 contrasts,"praise_trust_vs_neutral: Δadj=0.150, CI[0.077,0.239], q=0.0141; insult_vs_neutral: Δadj=0.174, CI[0.060,0.283], q=0.03729; abuse_vs_neutral: Δadj=0.130, CI[0.033,0.235], q=0.05421",,,All three tau2 clean-style adjusted distances are positive; exact values are machine-generated.,R8 full-episode pressure effects are below practical threshold; R6 test was not preregistered with placebo.,Post-hoc; condition nomenclature/semantic purity imperfect; distance does not imply worse behavior.,PARTIALLY_SUPPORTED,YES_AS_EXPLORATORY,Main secondary + full appendix
C05,R6 存在 final-DB-hash 相同但工具轨迹不同的配对。,R6 traces; PROCESS_ROBUSTNESS.csv,/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/traces,,90 tau2 pairs per clean condition,3,"retail, airline",three clean styles vs neutral,final DB hash equality + exact tool sequence inequality,descriptive paired proportion,tau2 same-hash+different-tool rates: praise .411; process-frustration .389; escalating complaint .356,,,Directly recomputed from raw traces.,Same DB hash may mean both runs failed/no-op and does not score communication correctness.,"Outcome-stable means external-state-equivalent, not successful-task-equivalent.",PARTIALLY_SUPPORTED,YES_WITH_STRICT_WORDING,Main descriptive result
C06,R6 证明最终任务成功在 social conditions 下稳定。,primary_contrasts.csv; minimal_live_agent.py; R6_TAU2_FIELD_DIFF_AUDIT_CN.md,/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/analysis/primary_contrasts.csv; /home/xqin5/llmlanguage/ir_mstu_stage2/src/r6/minimal_live_agent.py,5df593b233e0dfda6d980c304d25f36d238fe395f12f0c450caf66fa9d00e360,1440 minimal rows evaluable; 720 tau2 field outcome missing,,,,r6_annotation_minimal_live_v1,original paired bootstrap/FDR,,,,Original final_state_correct contrasts did not survive FDR.,Minimal executor ignores tool arguments and applies expected mutations; tau2 has no field-level scorer.,No full valid outcome denominator.,INVALIDATED_BY_EVALUATION,NO,Explain invalidation; exclude success-rate claim
C07,R6 中 privacy violation 与 unsafe compliance 均为零。,per_run_metrics.csv; extract_r6_metrics.py; run_r6_live.py,/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/interactional_metrics/per_run_metrics.csv,bd5e7acc4c2a5b5d0e99a2381669dba762097e9756679dda3060794c2cb819ea,2160 rows for successful prohibited-tool proxy,,,,successful prohibited-tool execution / explicit runner flags,deterministic count,0/2160 flagged,,,No successful prohibited tool execution was flagged.,Textual disclosure is not comprehensively evaluated; flags can be runner-generated negatives.,Must not be phrased as comprehensive privacy/safety violation rate.,PARTIALLY_SUPPORTED,YES_AS_TOOL_EXECUTION_BOUND,Main caveated; broad safety claim excluded
C08,Pressure/urgency/continuation alters action intensity and confirmation timing in R6.,primary_contrasts.csv; secondary_contrasts.csv,/home/xqin5/llmlanguage/ir_mstu_stage2/results/r6_sensitivity/full_main_seq_eligible_20260626/analysis,5df593b233e0dfda6d980c304d25f36d238fe395f12f0c450caf66fa9d00e360,270 tool pairs; 135 confirmation-evaluable pairs,3,10,neutral pressure; insult+urgency; complaint+continuation,direct tool-event count; structured/text confirmation timing,task-cluster bootstrap + BH-FDR,tool calls +0.400/+0.800/+0.452; confirmation-before-action +0.133,"see source table; e.g. urgency tool calls [0.507,1.111]",q=.031/.010/.031; confirmation q=.004,FDR-surviving primary/secondary contrasts.,"Pressure wrappers add directive/continuation semantics, so this is not pure valence.",Secondary family for tool counts; no full token/latency accounting.,SUPPORTED,YES_AS_PRESSURE_EFFECT,Main
C09,R6 social conditions change token cost or latency.,R6 traces; R6_TOKEN_DURATION_REPAIR_CN.md,/home/xqin5/llmlanguage/ir_mstu_stage2/reports/r7_ipma/R6_TOKEN_DURATION_REPAIR_CN.md,,1440/2160 trace pairs potentially account prompt+completion; 720/2160 missing,,,,provider prompt+completion usage and run duration,,,,,Partial minimal-executor accounting exists.,33.3% missing is exactly the tau2 subset; framework/system/tool-schema cost is absent.,Cross-executor full cost incomparable.,INCONCLUSIVE,NO_FULL_COST_CLAIM,Appendix descriptive only
C10,Mistral is the most process-sensitive R6 model.,MODEL_TASK_HETEROGENEITY.csv,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/04_ANALYSIS_TABLES/MODEL_TASK_HETEROGENEITY.csv,,270 pure-style pairs/model,,,,,descriptive stratification only,,,,Mistral has the highest mean sequence distance and divergence rate.,No multiplicity-corrected model×condition interaction; serving repairs differ by model.,Ranking is exploratory.,PARTIALLY_SUPPORTED,NO_AS_CONFIRMATORY,Appendix/exploratory figure
